Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Acre
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"120005 ASSIS BRASIL";2
"120010 BRASILEIA";2
"120020 CRUZEIRO DO SUL";8
"120025 EPITACIOLANDIA";3
"120030 FEIJO";1
"120038 PLACIDO DE CASTRO";9
"120040 RIO BRANCO";36
"120042 RODRIGUES ALVES";8
"120045 SENADOR GUIOMARD";1
"120050 SENA MADUREIRA";8
"Total";78
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
