Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Acre
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"120001 ACRELANDIA";6
"120020 CRUZEIRO DO SUL";1
"120025 EPITACIOLANDIA";3
"120030 FEIJO";4
"120033 MANCIO LIMA";3
"120038 PLACIDO DE CASTRO";8
"120039 PORTO WALTER";5
"120040 RIO BRANCO";23
"120050 SENA MADUREIRA";2
"120080 PORTO ACRE";1
"Total";56
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
