Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Acre
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"120001 ACRELANDIA";3
"120025 EPITACIOLANDIA";2
"120030 FEIJO";1
"120032 JORDAO";1
"120033 MANCIO LIMA";3
"120038 PLACIDO DE CASTRO";4
"120040 RIO BRANCO";34
"120042 RODRIGUES ALVES";1
"120050 SENA MADUREIRA";2
"120070 XAPURI";2
"120080 PORTO ACRE";1
"Total";54
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
