Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Maranhão
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"210005 ACAILANDIA";7
"210020 ALCANTARA";1
"210047 ALTO ALEGRE DO PINDARE";2
"210050 ALTO PARNAIBA";7
"210060 AMARANTE DO MARANHAO";2
"210083 APICUM-ACU";4
"210095 ARAME";2
"210100 ARARI";2
"210120 BACABAL";2
"210140 BALSAS";4
"210160 BARRA DO CORDA";7
"210180 BENEDITO LEITE";1
"210200 BOM JARDIM";6
"210232 BURITICUPU";3
"210270 CANTANHEDE";1
"210275 CAPINZAL DO NORTE";1
"210300 CAXIAS";36
"210310 CEDRAL";2
"210320 CHAPADINHA";3
"210330 CODO";1
"210340 COELHO NETO";5
"210350 COLINAS";1
"210355 CONCEICAO DO LAGO-ACU";1
"210390 DUQUE BACELAR";1
"210408 FERNANDO FALCAO";2
"210409 FORMOSA DA SERRA NEGRA";2
"210440 GONCALVES DIAS";1
"210450 GOVERNADOR ARCHER";4
"210455 GOVERNADOR EDISON LOBAO";1
"210467 GOVERNADOR NUNES FREIRE";3
"210470 GRACA ARANHA";3
"210480 GRAJAU";13
"210500 HUMBERTO DE CAMPOS";1
"210530 IMPERATRIZ";7
"210540 ITAPECURU MIRIM";5
"210565 JUNCO DO MARANHAO";3
"210570 LAGO DA PEDRA";3
"210596 LAGOA GRANDE DO MARANHAO";5
"210620 LUIS DOMINGUES";1
"210663 MATOES DO NORTE";3
"210675 MIRANDA DO NORTE";1
"210710 MORROS";1
"210720 NINA RODRIGUES";10
"210735 NOVA OLINDA DO MARANHAO";7
"210745 OLINDA NOVA DO MARANHAO";3
"210750 PACO DO LUMIAR";3
"210770 PARAIBANO";2
"210780 PARNARAMA";15
"210790 PASSAGEM FRANCA";2
"210805 PAULINO NEVES";1
"210810 PAULO RAMOS";8
"210820 PEDREIRAS";3
"210830 PENALVA";6
"210850 PINDARE-MIRIM";5
"210870 PIO XII";5
"210890 POCAO DE PEDRAS";1
"210900 PORTO FRANCO";1
"210905 PORTO RICO DO MARANHAO";2
"210910 PRESIDENTE DUTRA";2
"210927 PRESIDENTE SARNEY";1
"210945 RAPOSA";11
"210950 RIACHAO";2
"210955 RIBAMAR FIQUENE";3
"210980 SANTA HELENA";3
"210990 SANTA INES";12
"211000 SANTA LUZIA";1
"211010 SANTA QUITERIA DO MARANHAO";7
"211020 SANTA RITA";4
"211060 SAO BERNARDO";1
"211102 SAO JOAO DO CARU";2
"211105 SAO JOAO DO PARAISO";3
"211107 SAO JOAO DO SOTER";1
"211110 SAO JOAO DOS PATOS";1
"211120 SAO JOSE DE RIBAMAR";36
"211130 SAO LUIS";104
"211140 SAO LUIS GONZAGA DO MARANHAO";4
"211150 SAO MATEUS DO MARANHAO";9
"211167 SAO ROBERTO";5
"211195 SUCUPIRA DO RIACHAO";1
"211220 TIMON";6
"211240 TURIACU";3
"211250 TUTOIA";1
"211270 VARGEM GRANDE";8
"211280 VIANA";5
"211285 VILA NOVA DOS MARTIRIOS";2
"211300 VITORINO FREIRE";3
"211400 ZE DOCA";2
"Total";478
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
