Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Maranhão
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"210005 ACAILANDIA";4
"210020 ALCANTARA";2
"210040 ALTAMIRA DO MARANHAO";7
"210047 ALTO ALEGRE DO PINDARE";5
"210055 AMAPA DO MARANHAO";1
"210060 AMARANTE DO MARANHAO";9
"210080 ANAPURUS";6
"210083 APICUM-ACU";1
"210087 ARAGUANA";1
"210090 ARAIOSES";4
"210095 ARAME";3
"210100 ARARI";1
"210120 BACABAL";3
"210140 BALSAS";5
"210150 BARAO DE GRAJAU";1
"210160 BARRA DO CORDA";3
"210197 BOA VISTA DO GURUPI";11
"210200 BOM JARDIM";2
"210203 BOM JESUS DAS SELVAS";1
"210210 BREJO";3
"210230 BURITI BRAVO";12
"210232 BURITICUPU";3
"210235 BURITIRANA";1
"210237 CACHOEIRA GRANDE";1
"210270 CANTANHEDE";1
"210275 CAPINZAL DO NORTE";12
"210290 CARUTAPERA";1
"210300 CAXIAS";21
"210320 CHAPADINHA";6
"210325 CIDELANDIA";1
"210330 CODO";1
"210340 COELHO NETO";3
"210350 COLINAS";4
"210370 CURURUPU";2
"210400 ESPERANTINOPOLIS";1
"210405 ESTREITO";7
"210409 FORMOSA DA SERRA NEGRA";3
"210410 FORTALEZA DOS NOGUEIRAS";1
"210430 GODOFREDO VIANA";1
"210460 GOVERNADOR EUGENIO BARROS";3
"210462 GOVERNADOR LUIZ ROCHA";6
"210465 GOVERNADOR NEWTON BELLO";2
"210467 GOVERNADOR NUNES FREIRE";2
"210480 GRAJAU";24
"210500 HUMBERTO DE CAMPOS";11
"210510 ICATU";4
"210520 IGARAPE GRANDE";7
"210530 IMPERATRIZ";8
"210540 ITAPECURU MIRIM";4
"210565 JUNCO DO MARANHAO";1
"210570 LAGO DA PEDRA";4
"210580 LAGO DO JUNCO";1
"210598 LAJEADO NOVO";1
"210610 LORETO";2
"210710 MORROS";4
"210735 NOVA OLINDA DO MARANHAO";7
"210750 PACO DO LUMIAR";10
"210760 PALMEIRANDIA";6
"210780 PARNARAMA";2
"210805 PAULINO NEVES";6
"210810 PAULO RAMOS";13
"210820 PEDREIRAS";4
"210850 PINDARE-MIRIM";1
"210860 PINHEIRO";3
"210870 PIO XII";1
"210900 PORTO FRANCO";9
"210923 PRESIDENTE MEDICI";3
"210927 PRESIDENTE SARNEY";7
"210950 RIACHAO";52
"210955 RIBAMAR FIQUENE";1
"210980 SANTA HELENA";3
"210990 SANTA INES";6
"211003 SANTA LUZIA DO PARUA";1
"211060 SAO BERNARDO";19
"211080 SAO FELIX DE BALSAS";5
"211100 SAO JOAO BATISTA";12
"211107 SAO JOAO DO SOTER";1
"211110 SAO JOAO DOS PATOS";1
"211120 SAO JOSE DE RIBAMAR";7
"211125 SAO JOSE DOS BASILIOS";1
"211130 SAO LUIS";67
"211140 SAO LUIS GONZAGA DO MARANHAO";1
"211150 SAO MATEUS DO MARANHAO";1
"211153 SAO PEDRO DA AGUA BRANCA";2
"211180 SITIO NOVO";1
"211223 TRIZIDELA DO VALE";8
"211230 TUNTUM";13
"211240 TURIACU";3
"211245 TURILANDIA";4
"211250 TUTOIA";1
"211270 VARGEM GRANDE";14
"211280 VIANA";24
"211285 VILA NOVA DOS MARTIRIOS";1
"211300 VITORINO FREIRE";3
"211400 ZE DOCA";4
"Total";567
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
