Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Maranhão
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"210005 ACAILANDIA";2
"210020 ALCANTARA";2
"210047 ALTO ALEGRE DO PINDARE";5
"210050 ALTO PARNAIBA";2
"210090 ARAIOSES";1
"210095 ARAME";4
"210100 ARARI";1
"210120 BACABAL";5
"210140 BALSAS";1
"210150 BARAO DE GRAJAU";2
"210160 BARRA DO CORDA";4
"210180 BENEDITO LEITE";1
"210200 BOM JARDIM";1
"210207 BOM LUGAR";3
"210210 BREJO";7
"210230 BURITI BRAVO";1
"210237 CACHOEIRA GRANDE";1
"210270 CANTANHEDE";8
"210275 CAPINZAL DO NORTE";3
"210290 CARUTAPERA";1
"210300 CAXIAS";15
"210320 CHAPADINHA";7
"210325 CIDELANDIA";7
"210330 CODO";4
"210340 COELHO NETO";5
"210350 COLINAS";1
"210390 DUQUE BACELAR";1
"210400 ESPERANTINOPOLIS";11
"210409 FORMOSA DA SERRA NEGRA";1
"210460 GOVERNADOR EUGENIO BARROS";1
"210462 GOVERNADOR LUIZ ROCHA";9
"210465 GOVERNADOR NEWTON BELLO";2
"210467 GOVERNADOR NUNES FREIRE";1
"210480 GRAJAU";24
"210500 HUMBERTO DE CAMPOS";1
"210510 ICATU";13
"210520 IGARAPE GRANDE";2
"210530 IMPERATRIZ";1
"210540 ITAPECURU MIRIM";5
"210550 JOAO LISBOA";1
"210565 JUNCO DO MARANHAO";1
"210570 LAGO DA PEDRA";39
"210598 LAJEADO NOVO";3
"210610 LORETO";4
"210637 MARANHAOZINHO";3
"210640 MATA ROMA";1
"210650 MATINHA";1
"210675 MIRANDA DO NORTE";1
"210710 MORROS";1
"210735 NOVA OLINDA DO MARANHAO";19
"210750 PACO DO LUMIAR";1
"210760 PALMEIRANDIA";1
"210790 PASSAGEM FRANCA";6
"210805 PAULINO NEVES";3
"210810 PAULO RAMOS";17
"210820 PEDREIRAS";9
"210830 PENALVA";1
"210850 PINDARE-MIRIM";1
"210860 PINHEIRO";8
"210927 PRESIDENTE SARNEY";2
"210950 RIACHAO";4
"210955 RIBAMAR FIQUENE";1
"210980 SANTA HELENA";4
"210990 SANTA INES";12
"211000 SANTA LUZIA";1
"211010 SANTA QUITERIA DO MARANHAO";1
"211020 SANTA RITA";4
"211030 SANTO ANTONIO DOS LOPES";4
"211060 SAO BERNARDO";5
"211080 SAO FELIX DE BALSAS";2
"211090 SAO FRANCISCO DO MARANHAO";19
"211100 SAO JOAO BATISTA";4
"211102 SAO JOAO DO CARU";1
"211107 SAO JOAO DO SOTER";1
"211110 SAO JOAO DOS PATOS";2
"211120 SAO JOSE DE RIBAMAR";4
"211125 SAO JOSE DOS BASILIOS";1
"211130 SAO LUIS";102
"211150 SAO MATEUS DO MARANHAO";1
"211180 SITIO NOVO";1
"211190 SUCUPIRA DO NORTE";3
"211223 TRIZIDELA DO VALE";2
"211227 TUFILANDIA";1
"211230 TUNTUM";6
"211240 TURIACU";1
"211250 TUTOIA";2
"211270 VARGEM GRANDE";19
"211280 VIANA";26
"211285 VILA NOVA DOS MARTIRIOS";1
"211400 ZE DOCA";1
"Total";525
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
