Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Maranhão
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"210005 ACAILANDIA";3
"210020 ALCANTARA";1
"210050 ALTO PARNAIBA";1
"210060 AMARANTE DO MARANHAO";1
"210095 ARAME";1
"210120 BACABAL";7
"210140 BALSAS";1
"210160 BARRA DO CORDA";2
"210180 BENEDITO LEITE";1
"210200 BOM JARDIM";4
"210207 BOM LUGAR";4
"210210 BREJO";8
"210230 BURITI BRAVO";2
"210237 CACHOEIRA GRANDE";1
"210270 CANTANHEDE";1
"210275 CAPINZAL DO NORTE";3
"210300 CAXIAS";14
"210320 CHAPADINHA";2
"210330 CODO";1
"210340 COELHO NETO";7
"210350 COLINAS";1
"210390 DUQUE BACELAR";4
"210400 ESPERANTINOPOLIS";1
"210405 ESTREITO";1
"210409 FORMOSA DA SERRA NEGRA";3
"210430 GODOFREDO VIANA";1
"210462 GOVERNADOR LUIZ ROCHA";13
"210467 GOVERNADOR NUNES FREIRE";2
"210480 GRAJAU";5
"210500 HUMBERTO DE CAMPOS";5
"210510 ICATU";3
"210520 IGARAPE GRANDE";2
"210530 IMPERATRIZ";6
"210540 ITAPECURU MIRIM";5
"210550 JOAO LISBOA";1
"210570 LAGO DA PEDRA";11
"210580 LAGO DO JUNCO";1
"210598 LAJEADO NOVO";1
"210610 LORETO";3
"210675 MIRANDA DO NORTE";2
"210735 NOVA OLINDA DO MARANHAO";3
"210770 PARAIBANO";3
"210780 PARNARAMA";14
"210790 PASSAGEM FRANCA";5
"210805 PAULINO NEVES";1
"210820 PEDREIRAS";1
"210830 PENALVA";1
"210860 PINHEIRO";6
"210890 POCAO DE PEDRAS";1
"210950 RIACHAO";4
"210955 RIBAMAR FIQUENE";1
"210990 SANTA INES";12
"211023 SANTANA DO MARANHAO";2
"211030 SANTO ANTONIO DOS LOPES";6
"211060 SAO BERNARDO";11
"211080 SAO FELIX DE BALSAS";2
"211090 SAO FRANCISCO DO MARANHAO";11
"211100 SAO JOAO BATISTA";2
"211107 SAO JOAO DO SOTER";2
"211120 SAO JOSE DE RIBAMAR";9
"211130 SAO LUIS";57
"211150 SAO MATEUS DO MARANHAO";1
"211153 SAO PEDRO DA AGUA BRANCA";3
"211167 SAO ROBERTO";1
"211190 SUCUPIRA DO NORTE";27
"211223 TRIZIDELA DO VALE";2
"211230 TUNTUM";8
"211240 TURIACU";1
"211245 TURILANDIA";5
"211270 VARGEM GRANDE";7
"211280 VIANA";3
"211285 VILA NOVA DOS MARTIRIOS";1
"211300 VITORINO FREIRE";1
"211400 ZE DOCA";1
"Total";351
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
