Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Maranhão
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"210005 ACAILANDIA";9
"210020 ALCANTARA";1
"210040 ALTAMIRA DO MARANHAO";1
"210047 ALTO ALEGRE DO PINDARE";2
"210060 AMARANTE DO MARANHAO";6
"210080 ANAPURUS";2
"210087 ARAGUANA";1
"210100 ARARI";2
"210110 AXIXA";7
"210120 BACABAL";2
"210150 BARAO DE GRAJAU";2
"210160 BARRA DO CORDA";3
"210200 BOM JARDIM";1
"210232 BURITICUPU";6
"210270 CANTANHEDE";3
"210275 CAPINZAL DO NORTE";2
"210300 CAXIAS";8
"210310 CEDRAL";3
"210320 CHAPADINHA";6
"210330 CODO";3
"210340 COELHO NETO";4
"210355 CONCEICAO DO LAGO-ACU";3
"210450 GOVERNADOR ARCHER";3
"210467 GOVERNADOR NUNES FREIRE";9
"210470 GRACA ARANHA";1
"210480 GRAJAU";155
"210500 HUMBERTO DE CAMPOS";1
"210510 ICATU";1
"210530 IMPERATRIZ";4
"210540 ITAPECURU MIRIM";6
"210565 JUNCO DO MARANHAO";3
"210570 LAGO DA PEDRA";17
"210596 LAGOA GRANDE DO MARANHAO";2
"210610 LORETO";1
"210632 MARACACUME";2
"210650 MATINHA";1
"210675 MIRANDA DO NORTE";3
"210700 MONTES ALTOS";1
"210710 MORROS";3
"210720 NINA RODRIGUES";3
"210735 NOVA OLINDA DO MARANHAO";44
"210745 OLINDA NOVA DO MARANHAO";10
"210750 PACO DO LUMIAR";2
"210770 PARAIBANO";1
"210780 PARNARAMA";4
"210790 PASSAGEM FRANCA";4
"210810 PAULO RAMOS";1
"210820 PEDREIRAS";10
"210830 PENALVA";2
"210850 PINDARE-MIRIM";2
"210870 PIO XII";2
"210890 POCAO DE PEDRAS";1
"210900 PORTO FRANCO";6
"210905 PORTO RICO DO MARANHAO";8
"210910 PRESIDENTE DUTRA";1
"210923 PRESIDENTE MEDICI";1
"210945 RAPOSA";1
"210950 RIACHAO";2
"210955 RIBAMAR FIQUENE";2
"210980 SANTA HELENA";3
"210990 SANTA INES";11
"211003 SANTA LUZIA DO PARUA";1
"211010 SANTA QUITERIA DO MARANHAO";3
"211020 SANTA RITA";3
"211100 SAO JOAO BATISTA";1
"211102 SAO JOAO DO CARU";1
"211110 SAO JOAO DOS PATOS";1
"211120 SAO JOSE DE RIBAMAR";27
"211130 SAO LUIS";63
"211140 SAO LUIS GONZAGA DO MARANHAO";1
"211150 SAO MATEUS DO MARANHAO";10
"211195 SUCUPIRA DO RIACHAO";2
"211220 TIMON";8
"211223 TRIZIDELA DO VALE";3
"211230 TUNTUM";4
"211240 TURIACU";3
"211250 TUTOIA";1
"211270 VARGEM GRANDE";28
"211280 VIANA";6
"211285 VILA NOVA DOS MARTIRIOS";3
"211400 ZE DOCA";3
"Total";583
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
