Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Maranhão
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"210005 ACAILANDIA";12
"210020 ALCANTARA";4
"210050 ALTO PARNAIBA";3
"210060 AMARANTE DO MARANHAO";2
"210100 ARARI";5
"210110 AXIXA";1
"210120 BACABAL";5
"210140 BALSAS";4
"210160 BARRA DO CORDA";11
"210173 BELAGUA";2
"210180 BENEDITO LEITE";1
"210203 BOM JESUS DAS SELVAS";1
"210210 BREJO";1
"210232 BURITICUPU";1
"210255 CAMPESTRE DO MARANHAO";22
"210275 CAPINZAL DO NORTE";22
"210290 CARUTAPERA";1
"210300 CAXIAS";16
"210310 CEDRAL";1
"210320 CHAPADINHA";7
"210330 CODO";13
"210340 COELHO NETO";11
"210350 COLINAS";1
"210355 CONCEICAO DO LAGO-ACU";1
"210360 COROATA";1
"210370 CURURUPU";1
"210400 ESPERANTINOPOLIS";1
"210450 GOVERNADOR ARCHER";2
"210467 GOVERNADOR NUNES FREIRE";2
"210470 GRACA ARANHA";2
"210480 GRAJAU";13
"210530 IMPERATRIZ";27
"210540 ITAPECURU MIRIM";33
"210550 JOAO LISBOA";2
"210565 JUNCO DO MARANHAO";2
"210570 LAGO DA PEDRA";15
"210596 LAGOA GRANDE DO MARANHAO";1
"210598 LAJEADO NOVO";1
"210632 MARACACUME";1
"210637 MARANHAOZINHO";1
"210650 MATINHA";1
"210675 MIRANDA DO NORTE";3
"210700 MONTES ALTOS";17
"210720 NINA RODRIGUES";10
"210735 NOVA OLINDA DO MARANHAO";11
"210745 OLINDA NOVA DO MARANHAO";4
"210750 PACO DO LUMIAR";1
"210770 PARAIBANO";1
"210780 PARNARAMA";4
"210790 PASSAGEM FRANCA";6
"210810 PAULO RAMOS";2
"210820 PEDREIRAS";19
"210830 PENALVA";7
"210850 PINDARE-MIRIM";5
"210870 PIO XII";1
"210900 PORTO FRANCO";3
"210905 PORTO RICO DO MARANHAO";3
"210910 PRESIDENTE DUTRA";7
"210927 PRESIDENTE SARNEY";11
"210945 RAPOSA";1
"210950 RIACHAO";5
"210955 RIBAMAR FIQUENE";5
"210980 SANTA HELENA";1
"210990 SANTA INES";28
"211000 SANTA LUZIA";7
"211020 SANTA RITA";1
"211030 SANTO ANTONIO DOS LOPES";2
"211060 SAO BERNARDO";3
"211080 SAO FELIX DE BALSAS";3
"211107 SAO JOAO DO SOTER";1
"211110 SAO JOAO DOS PATOS";4
"211120 SAO JOSE DE RIBAMAR";20
"211130 SAO LUIS";123
"211150 SAO MATEUS DO MARANHAO";7
"211153 SAO PEDRO DA AGUA BRANCA";1
"211180 SITIO NOVO";1
"211195 SUCUPIRA DO RIACHAO";2
"211220 TIMON";10
"211223 TRIZIDELA DO VALE";1
"211230 TUNTUM";12
"211240 TURIACU";2
"211250 TUTOIA";4
"211270 VARGEM GRANDE";73
"211280 VIANA";19
"211300 VITORINO FREIRE";3
"211400 ZE DOCA";4
"Total";712
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
