Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Maranhão
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"210005 ACAILANDIA";7
"210020 ALCANTARA";2
"210040 ALTAMIRA DO MARANHAO";1
"210047 ALTO ALEGRE DO PINDARE";2
"210055 AMAPA DO MARANHAO";1
"210060 AMARANTE DO MARANHAO";6
"210080 ANAPURUS";7
"210087 ARAGUANA";1
"210100 ARARI";3
"210120 BACABAL";6
"210140 BALSAS";3
"210160 BARRA DO CORDA";6
"210200 BOM JARDIM";2
"210203 BOM JESUS DAS SELVAS";1
"210230 BURITI BRAVO";1
"210232 BURITICUPU";4
"210255 CAMPESTRE DO MARANHAO";16
"210275 CAPINZAL DO NORTE";2
"210290 CARUTAPERA";1
"210300 CAXIAS";17
"210320 CHAPADINHA";5
"210330 CODO";6
"210340 COELHO NETO";10
"210350 COLINAS";1
"210355 CONCEICAO DO LAGO-ACU";3
"210390 DUQUE BACELAR";2
"210400 ESPERANTINOPOLIS";7
"210450 GOVERNADOR ARCHER";1
"210480 GRAJAU";5
"210510 ICATU";1
"210530 IMPERATRIZ";5
"210540 ITAPECURU MIRIM";7
"210550 JOAO LISBOA";2
"210570 LAGO DA PEDRA";18
"210590 LAGO VERDE";3
"210596 LAGOA GRANDE DO MARANHAO";2
"210598 LAJEADO NOVO";2
"210620 LUIS DOMINGUES";1
"210637 MARANHAOZINHO";1
"210650 MATINHA";1
"210675 MIRANDA DO NORTE";2
"210700 MONTES ALTOS";15
"210710 MORROS";1
"210720 NINA RODRIGUES";1
"210735 NOVA OLINDA DO MARANHAO";35
"210750 PACO DO LUMIAR";10
"210760 PALMEIRANDIA";1
"210770 PARAIBANO";3
"210780 PARNARAMA";3
"210790 PASSAGEM FRANCA";14
"210810 PAULO RAMOS";8
"210820 PEDREIRAS";6
"210830 PENALVA";7
"210850 PINDARE-MIRIM";13
"210860 PINHEIRO";1
"210905 PORTO RICO DO MARANHAO";1
"210910 PRESIDENTE DUTRA";2
"210955 RIBAMAR FIQUENE";1
"210990 SANTA INES";18
"211000 SANTA LUZIA";4
"211003 SANTA LUZIA DO PARUA";19
"211010 SANTA QUITERIA DO MARANHAO";1
"211060 SAO BERNARDO";2
"211080 SAO FELIX DE BALSAS";2
"211105 SAO JOAO DO PARAISO";1
"211107 SAO JOAO DO SOTER";2
"211110 SAO JOAO DOS PATOS";9
"211120 SAO JOSE DE RIBAMAR";16
"211130 SAO LUIS";123
"211150 SAO MATEUS DO MARANHAO";3
"211167 SAO ROBERTO";3
"211220 TIMON";4
"211230 TUNTUM";4
"211240 TURIACU";1
"211250 TUTOIA";4
"211270 VARGEM GRANDE";12
"211280 VIANA";11
"211300 VITORINO FREIRE";3
"211400 ZE DOCA";3
"Total";541
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
