Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Maranhão
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"210005 ACAILANDIA";12
"210020 ALCANTARA";2
"210047 ALTO ALEGRE DO PINDARE";1
"210050 ALTO PARNAIBA";2
"210060 AMARANTE DO MARANHAO";3
"210080 ANAPURUS";4
"210087 ARAGUANA";5
"210095 ARAME";2
"210100 ARARI";1
"210120 BACABAL";4
"210140 BALSAS";2
"210150 BARAO DE GRAJAU";1
"210160 BARRA DO CORDA";2
"210200 BOM JARDIM";5
"210203 BOM JESUS DAS SELVAS";4
"210210 BREJO";11
"210232 BURITICUPU";3
"210255 CAMPESTRE DO MARANHAO";22
"210270 CANTANHEDE";1
"210275 CAPINZAL DO NORTE";39
"210290 CARUTAPERA";2
"210300 CAXIAS";33
"210320 CHAPADINHA";3
"210330 CODO";7
"210340 COELHO NETO";3
"210355 CONCEICAO DO LAGO-ACU";2
"210400 ESPERANTINOPOLIS";3
"210450 GOVERNADOR ARCHER";8
"210462 GOVERNADOR LUIZ ROCHA";1
"210467 GOVERNADOR NUNES FREIRE";2
"210480 GRAJAU";15
"210490 GUIMARAES";1
"210530 IMPERATRIZ";13
"210540 ITAPECURU MIRIM";16
"210550 JOAO LISBOA";1
"210570 LAGO DA PEDRA";43
"210590 LAGO VERDE";2
"210596 LAGOA GRANDE DO MARANHAO";2
"210598 LAJEADO NOVO";6
"210610 LORETO";1
"210632 MARACACUME";3
"210640 MATA ROMA";2
"210650 MATINHA";6
"210663 MATOES DO NORTE";6
"210667 MILAGRES DO MARANHAO";1
"210675 MIRANDA DO NORTE";2
"210710 MORROS";1
"210720 NINA RODRIGUES";15
"210735 NOVA OLINDA DO MARANHAO";9
"210745 OLINDA NOVA DO MARANHAO";3
"210750 PACO DO LUMIAR";3
"210770 PARAIBANO";5
"210780 PARNARAMA";1
"210790 PASSAGEM FRANCA";16
"210810 PAULO RAMOS";1
"210820 PEDREIRAS";4
"210830 PENALVA";7
"210860 PINHEIRO";14
"210870 PIO XII";2
"210890 POCAO DE PEDRAS";2
"210900 PORTO FRANCO";2
"210905 PORTO RICO DO MARANHAO";2
"210927 PRESIDENTE SARNEY";4
"210950 RIACHAO";2
"210980 SANTA HELENA";3
"210990 SANTA INES";10
"211000 SANTA LUZIA";7
"211003 SANTA LUZIA DO PARUA";9
"211020 SANTA RITA";4
"211023 SANTANA DO MARANHAO";2
"211060 SAO BERNARDO";2
"211080 SAO FELIX DE BALSAS";2
"211102 SAO JOAO DO CARU";2
"211105 SAO JOAO DO PARAISO";8
"211107 SAO JOAO DO SOTER";8
"211110 SAO JOAO DOS PATOS";3
"211120 SAO JOSE DE RIBAMAR";11
"211130 SAO LUIS";167
"211140 SAO LUIS GONZAGA DO MARANHAO";6
"211150 SAO MATEUS DO MARANHAO";6
"211153 SAO PEDRO DA AGUA BRANCA";3
"211167 SAO ROBERTO";7
"211195 SUCUPIRA DO RIACHAO";1
"211200 TASSO FRAGOSO";1
"211220 TIMON";3
"211223 TRIZIDELA DO VALE";1
"211230 TUNTUM";11
"211240 TURIACU";1
"211245 TURILANDIA";9
"211250 TUTOIA";40
"211270 VARGEM GRANDE";12
"211280 VIANA";11
"211300 VITORINO FREIRE";5
"211400 ZE DOCA";6
"Total";764
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
