Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Maranhão
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"210005 ACAILANDIA";7
"210047 ALTO ALEGRE DO PINDARE";1
"210050 ALTO PARNAIBA";2
"210060 AMARANTE DO MARANHAO";2
"210080 ANAPURUS";1
"210087 ARAGUANA";21
"210120 BACABAL";10
"210150 BARAO DE GRAJAU";1
"210160 BARRA DO CORDA";6
"210203 BOM JESUS DAS SELVAS";1
"210232 BURITICUPU";10
"210255 CAMPESTRE DO MARANHAO";19
"210270 CANTANHEDE";10
"210275 CAPINZAL DO NORTE";14
"210290 CARUTAPERA";1
"210300 CAXIAS";14
"210320 CHAPADINHA";4
"210330 CODO";6
"210340 COELHO NETO";6
"210355 CONCEICAO DO LAGO-ACU";1
"210360 COROATA";1
"210370 CURURUPU";2
"210400 ESPERANTINOPOLIS";4
"210405 ESTREITO";1
"210408 FERNANDO FALCAO";5
"210455 GOVERNADOR EDISON LOBAO";2
"210462 GOVERNADOR LUIZ ROCHA";1
"210467 GOVERNADOR NUNES FREIRE";5
"210480 GRAJAU";5
"210500 HUMBERTO DE CAMPOS";18
"210530 IMPERATRIZ";6
"210540 ITAPECURU MIRIM";7
"210550 JOAO LISBOA";5
"210570 LAGO DA PEDRA";21
"210596 LAGOA GRANDE DO MARANHAO";2
"210598 LAJEADO NOVO";1
"210610 LORETO";2
"210630 MAGALHAES DE ALMEIDA";4
"210632 MARACACUME";2
"210640 MATA ROMA";1
"210650 MATINHA";3
"210663 MATOES DO NORTE";2
"210735 NOVA OLINDA DO MARANHAO";5
"210750 PACO DO LUMIAR";2
"210760 PALMEIRANDIA";2
"210770 PARAIBANO";3
"210790 PASSAGEM FRANCA";5
"210810 PAULO RAMOS";3
"210820 PEDREIRAS";11
"210830 PENALVA";5
"210850 PINDARE-MIRIM";10
"210860 PINHEIRO";6
"210870 PIO XII";1
"210900 PORTO FRANCO";8
"210910 PRESIDENTE DUTRA";1
"210927 PRESIDENTE SARNEY";5
"210950 RIACHAO";1
"210980 SANTA HELENA";6
"210990 SANTA INES";8
"211000 SANTA LUZIA";5
"211003 SANTA LUZIA DO PARUA";7
"211020 SANTA RITA";12
"211030 SANTO ANTONIO DOS LOPES";1
"211060 SAO BERNARDO";4
"211080 SAO FELIX DE BALSAS";3
"211105 SAO JOAO DO PARAISO";7
"211110 SAO JOAO DOS PATOS";2
"211120 SAO JOSE DE RIBAMAR";17
"211125 SAO JOSE DOS BASILIOS";3
"211130 SAO LUIS";92
"211140 SAO LUIS GONZAGA DO MARANHAO";4
"211150 SAO MATEUS DO MARANHAO";24
"211153 SAO PEDRO DA AGUA BRANCA";3
"211167 SAO ROBERTO";11
"211174 SENADOR ALEXANDRE COSTA";3
"211180 SITIO NOVO";5
"211195 SUCUPIRA DO RIACHAO";1
"211220 TIMON";4
"211230 TUNTUM";1
"211240 TURIACU";4
"211250 TUTOIA";1
"211270 VARGEM GRANDE";3
"211280 VIANA";10
"211285 VILA NOVA DOS MARTIRIOS";2
"211300 VITORINO FREIRE";1
"211400 ZE DOCA";7
"Total";556
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
