Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Maranhão
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"210005 ACAILANDIA";7
"210010 AFONSO CUNHA";1
"210020 ALCANTARA";1
"210047 ALTO ALEGRE DO PINDARE";3
"210050 ALTO PARNAIBA";2
"210060 AMARANTE DO MARANHAO";1
"210080 ANAPURUS";1
"210083 APICUM-ACU";1
"210090 ARAIOSES";3
"210095 ARAME";1
"210120 BACABAL";6
"210125 BACABEIRA";1
"210160 BARRA DO CORDA";2
"210200 BOM JARDIM";7
"210207 BOM LUGAR";3
"210232 BURITICUPU";8
"210235 BURITIRANA";4
"210237 CACHOEIRA GRANDE";1
"210255 CAMPESTRE DO MARANHAO";5
"210270 CANTANHEDE";1
"210275 CAPINZAL DO NORTE";6
"210290 CARUTAPERA";7
"210300 CAXIAS";13
"210320 CHAPADINHA";3
"210330 CODO";6
"210340 COELHO NETO";4
"210350 COLINAS";4
"210355 CONCEICAO DO LAGO-ACU";2
"210370 CURURUPU";8
"210400 ESPERANTINOPOLIS";2
"210409 FORMOSA DA SERRA NEGRA";4
"210430 GODOFREDO VIANA";1
"210460 GOVERNADOR EUGENIO BARROS";4
"210462 GOVERNADOR LUIZ ROCHA";1
"210467 GOVERNADOR NUNES FREIRE";7
"210480 GRAJAU";5
"210500 HUMBERTO DE CAMPOS";3
"210510 ICATU";1
"210530 IMPERATRIZ";21
"210540 ITAPECURU MIRIM";3
"210550 JOAO LISBOA";7
"210565 JUNCO DO MARANHAO";2
"210570 LAGO DA PEDRA";7
"210592 LAGOA DO MATO";1
"210598 LAJEADO NOVO";3
"210610 LORETO";2
"210620 LUIS DOMINGUES";1
"210632 MARACACUME";5
"210637 MARANHAOZINHO";1
"210640 MATA ROMA";1
"210650 MATINHA";1
"210675 MIRANDA DO NORTE";1
"210690 MONCAO";4
"210735 NOVA OLINDA DO MARANHAO";9
"210745 OLINDA NOVA DO MARANHAO";9
"210750 PACO DO LUMIAR";2
"210760 PALMEIRANDIA";1
"210770 PARAIBANO";3
"210790 PASSAGEM FRANCA";6
"210820 PEDREIRAS";4
"210830 PENALVA";5
"210850 PINDARE-MIRIM";11
"210860 PINHEIRO";14
"210900 PORTO FRANCO";10
"210923 PRESIDENTE MEDICI";1
"210927 PRESIDENTE SARNEY";1
"210950 RIACHAO";2
"210980 SANTA HELENA";5
"210990 SANTA INES";10
"211000 SANTA LUZIA";3
"211003 SANTA LUZIA DO PARUA";48
"211010 SANTA QUITERIA DO MARANHAO";3
"211020 SANTA RITA";4
"211030 SANTO ANTONIO DOS LOPES";8
"211060 SAO BERNARDO";20
"211080 SAO FELIX DE BALSAS";4
"211110 SAO JOAO DOS PATOS";2
"211120 SAO JOSE DE RIBAMAR";17
"211125 SAO JOSE DOS BASILIOS";13
"211130 SAO LUIS";47
"211140 SAO LUIS GONZAGA DO MARANHAO";2
"211150 SAO MATEUS DO MARANHAO";5
"211153 SAO PEDRO DA AGUA BRANCA";3
"211167 SAO ROBERTO";6
"211220 TIMON";1
"211223 TRIZIDELA DO VALE";2
"211230 TUNTUM";7
"211240 TURIACU";7
"211245 TURILANDIA";9
"211250 TUTOIA";2
"211270 VARGEM GRANDE";3
"211280 VIANA";17
"211285 VILA NOVA DOS MARTIRIOS";3
"211300 VITORINO FREIRE";3
"211400 ZE DOCA";2
"Total";534
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
