Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Maranhão
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"210005 ACAILANDIA";7
"210040 ALTAMIRA DO MARANHAO";8
"210047 ALTO ALEGRE DO PINDARE";1
"210055 AMAPA DO MARANHAO";2
"210060 AMARANTE DO MARANHAO";3
"210080 ANAPURUS";13
"210083 APICUM-ACU";7
"210095 ARAME";1
"210100 ARARI";4
"210120 BACABAL";9
"210140 BALSAS";5
"210150 BARAO DE GRAJAU";1
"210160 BARRA DO CORDA";15
"210180 BENEDITO LEITE";1
"210197 BOA VISTA DO GURUPI";1
"210200 BOM JARDIM";1
"210203 BOM JESUS DAS SELVAS";2
"210207 BOM LUGAR";15
"210210 BREJO";1
"210230 BURITI BRAVO";4
"210232 BURITICUPU";9
"210235 BURITIRANA";4
"210237 CACHOEIRA GRANDE";7
"210255 CAMPESTRE DO MARANHAO";1
"210275 CAPINZAL DO NORTE";14
"210290 CARUTAPERA";11
"210300 CAXIAS";21
"210310 CEDRAL";1
"210315 CENTRO DO GUILHERME";1
"210320 CHAPADINHA";10
"210330 CODO";4
"210340 COELHO NETO";4
"210350 COLINAS";2
"210355 CONCEICAO DO LAGO-ACU";2
"210370 CURURUPU";12
"210390 DUQUE BACELAR";3
"210400 ESPERANTINOPOLIS";3
"210409 FORMOSA DA SERRA NEGRA";12
"210410 FORTALEZA DOS NOGUEIRAS";6
"210455 GOVERNADOR EDISON LOBAO";1
"210460 GOVERNADOR EUGENIO BARROS";1
"210462 GOVERNADOR LUIZ ROCHA";8
"210467 GOVERNADOR NUNES FREIRE";3
"210480 GRAJAU";3
"210490 GUIMARAES";7
"210500 HUMBERTO DE CAMPOS";25
"210510 ICATU";2
"210530 IMPERATRIZ";9
"210540 ITAPECURU MIRIM";3
"210550 JOAO LISBOA";8
"210565 JUNCO DO MARANHAO";1
"210570 LAGO DA PEDRA";17
"210590 LAGO VERDE";3
"210596 LAGOA GRANDE DO MARANHAO";3
"210598 LAJEADO NOVO";1
"210600 LIMA CAMPOS";5
"210610 LORETO";4
"210620 LUIS DOMINGUES";2
"210632 MARACACUME";6
"210650 MATINHA";3
"210663 MATOES DO NORTE";1
"210675 MIRANDA DO NORTE";2
"210710 MORROS";2
"210720 NINA RODRIGUES";1
"210735 NOVA OLINDA DO MARANHAO";1
"210745 OLINDA NOVA DO MARANHAO";1
"210750 PACO DO LUMIAR";4
"210760 PALMEIRANDIA";12
"210780 PARNARAMA";14
"210790 PASSAGEM FRANCA";6
"210805 PAULINO NEVES";3
"210810 PAULO RAMOS";5
"210820 PEDREIRAS";11
"210830 PENALVA";1
"210850 PINDARE-MIRIM";2
"210860 PINHEIRO";6
"210900 PORTO FRANCO";18
"210923 PRESIDENTE MEDICI";2
"210927 PRESIDENTE SARNEY";3
"210950 RIACHAO";1
"210955 RIBAMAR FIQUENE";1
"210990 SANTA INES";15
"211000 SANTA LUZIA";2
"211003 SANTA LUZIA DO PARUA";44
"211020 SANTA RITA";1
"211023 SANTANA DO MARANHAO";1
"211030 SANTO ANTONIO DOS LOPES";10
"211060 SAO BERNARDO";25
"211080 SAO FELIX DE BALSAS";8
"211100 SAO JOAO BATISTA";3
"211120 SAO JOSE DE RIBAMAR";12
"211125 SAO JOSE DOS BASILIOS";6
"211130 SAO LUIS";120
"211140 SAO LUIS GONZAGA DO MARANHAO";2
"211150 SAO MATEUS DO MARANHAO";3
"211167 SAO ROBERTO";1
"211180 SITIO NOVO";1
"211195 SUCUPIRA DO RIACHAO";1
"211220 TIMON";4
"211223 TRIZIDELA DO VALE";18
"211230 TUNTUM";7
"211240 TURIACU";12
"211245 TURILANDIA";4
"211250 TUTOIA";19
"211270 VARGEM GRANDE";6
"211280 VIANA";22
"211300 VITORINO FREIRE";4
"211400 ZE DOCA";2
"Total";793
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
