Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Maranhão
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"210005 ACAILANDIA";10
"210020 ALCANTARA";1
"210040 ALTAMIRA DO MARANHAO";46
"210050 ALTO PARNAIBA";1
"210055 AMAPA DO MARANHAO";2
"210060 AMARANTE DO MARANHAO";1
"210080 ANAPURUS";4
"210100 ARARI";7
"210120 BACABAL";9
"210140 BALSAS";1
"210150 BARAO DE GRAJAU";1
"210160 BARRA DO CORDA";6
"210197 BOA VISTA DO GURUPI";2
"210200 BOM JARDIM";3
"210207 BOM LUGAR";5
"210210 BREJO";1
"210230 BURITI BRAVO";6
"210232 BURITICUPU";3
"210255 CAMPESTRE DO MARANHAO";6
"210270 CANTANHEDE";2
"210275 CAPINZAL DO NORTE";4
"210300 CAXIAS";12
"210310 CEDRAL";2
"210320 CHAPADINHA";2
"210325 CIDELANDIA";1
"210330 CODO";6
"210340 COELHO NETO";3
"210350 COLINAS";3
"210355 CONCEICAO DO LAGO-ACU";1
"210370 CURURUPU";9
"210390 DUQUE BACELAR";2
"210405 ESTREITO";8
"210408 FERNANDO FALCAO";2
"210409 FORMOSA DA SERRA NEGRA";5
"210410 FORTALEZA DOS NOGUEIRAS";5
"210455 GOVERNADOR EDISON LOBAO";1
"210462 GOVERNADOR LUIZ ROCHA";12
"210467 GOVERNADOR NUNES FREIRE";6
"210480 GRAJAU";4
"210490 GUIMARAES";1
"210500 HUMBERTO DE CAMPOS";17
"210510 ICATU";4
"210520 IGARAPE GRANDE";4
"210530 IMPERATRIZ";9
"210540 ITAPECURU MIRIM";7
"210542 ITINGA DO MARANHAO";1
"210550 JOAO LISBOA";2
"210565 JUNCO DO MARANHAO";2
"210570 LAGO DA PEDRA";9
"210580 LAGO DO JUNCO";2
"210590 LAGO VERDE";1
"210596 LAGOA GRANDE DO MARANHAO";4
"210610 LORETO";2
"210632 MARACACUME";1
"210637 MARANHAOZINHO";1
"210650 MATINHA";2
"210663 MATOES DO NORTE";1
"210675 MIRANDA DO NORTE";2
"210700 MONTES ALTOS";1
"210710 MORROS";1
"210735 NOVA OLINDA DO MARANHAO";2
"210745 OLINDA NOVA DO MARANHAO";2
"210750 PACO DO LUMIAR";4
"210760 PALMEIRANDIA";3
"210770 PARAIBANO";1
"210780 PARNARAMA";4
"210790 PASSAGEM FRANCA";9
"210805 PAULINO NEVES";7
"210810 PAULO RAMOS";14
"210820 PEDREIRAS";8
"210830 PENALVA";1
"210850 PINDARE-MIRIM";2
"210860 PINHEIRO";2
"210910 PRESIDENTE DUTRA";1
"210955 RIBAMAR FIQUENE";1
"210990 SANTA INES";9
"211003 SANTA LUZIA DO PARUA";62
"211010 SANTA QUITERIA DO MARANHAO";1
"211030 SANTO ANTONIO DOS LOPES";9
"211060 SAO BERNARDO";15
"211080 SAO FELIX DE BALSAS";3
"211100 SAO JOAO BATISTA";2
"211110 SAO JOAO DOS PATOS";2
"211120 SAO JOSE DE RIBAMAR";18
"211125 SAO JOSE DOS BASILIOS";2
"211130 SAO LUIS";101
"211140 SAO LUIS GONZAGA DO MARANHAO";1
"211150 SAO MATEUS DO MARANHAO";2
"211180 SITIO NOVO";4
"211220 TIMON";6
"211223 TRIZIDELA DO VALE";8
"211230 TUNTUM";12
"211240 TURIACU";3
"211250 TUTOIA";2
"211270 VARGEM GRANDE";36
"211280 VIANA";4
"211300 VITORINO FREIRE";1
"211400 ZE DOCA";7
"Total";650
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
