Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"510020 AGUA BOA";1
"510025 ALTA FLORESTA";7
"510140 ARIPUANA";4
"510170 BARRA DO BUGRES";3
"510190 BRASNORTE";5
"510263 CAMPO NOVO DO PARECIS";1
"510267 CAMPO VERDE";1
"510270 CANARANA";3
"510285 CASTANHEIRA";17
"510300 CHAPADA DOS GUIMARAES";3
"510320 COLIDER";6
"510325 COLNIZA";2
"510330 COMODORO";4
"510335 CONFRESA";3
"510340 CUIABA";109
"510370 FELIZ NATAL";1
"510390 GENERAL CARNEIRO";2
"510410 GUARANTA DO NORTE";4
"510460 ITIQUIRA";4
"510480 JACIARA";11
"510510 JUARA";1
"510517 JURUENA";1
"510558 MARCELANDIA";1
"510562 MIRASSOL D'OESTE";4
"510590 NOBRES";8
"510622 NOVA MUTUM";1
"510623 NOVA OLIMPIA";3
"510624 NOVA UBIRATA";3
"510625 NOVA XAVANTINA";2
"510630 PARANATINGA";1
"510650 POCONE";1
"510718 RIBEIRAO CASCALHEIRA";3
"510720 RIO BRANCO";8
"510760 RONDONOPOLIS";2
"510774 SANTA CRUZ DO XINGU";1
"510775 SALTO DO CEU";1
"510780 SANTO ANTONIO DO LEVERGER";3
"510787 SAPEZAL";3
"510790 SINOP";11
"510792 SORRISO";2
"510795 TANGARA DA SERRA";2
"510800 TAPURAH";1
"510805 TERRA NOVA DO NORTE";6
"510820 TORIXOREU";1
"510830 UNIAO DO SUL";1
"510840 VARZEA GRANDE";18
"510860 VILA RICA";1
"510890 NOVA MARINGA";2
"510895 NOVA MONTE VERDE";1
"Total";284
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
