Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"510020 AGUA BOA";5
"510025 ALTA FLORESTA";2
"510170 BARRA DO BUGRES";4
"510190 BRASNORTE";1
"510263 CAMPO NOVO DO PARECIS";2
"510267 CAMPO VERDE";2
"510270 CANARANA";8
"510285 CASTANHEIRA";3
"510300 CHAPADA DOS GUIMARAES";20
"510320 COLIDER";4
"510325 COLNIZA";1
"510330 COMODORO";1
"510335 CONFRESA";1
"510340 CUIABA";89
"510370 FELIZ NATAL";1
"510410 GUARANTA DO NORTE";3
"510452 IPIRANGA DO NORTE";4
"510460 ITIQUIRA";2
"510480 JACIARA";1
"510510 JUARA";2
"510517 JURUENA";2
"510525 LUCAS DO RIO VERDE";1
"510530 LUCIARA";4
"510558 MARCELANDIA";1
"510600 NORTELANDIA";1
"510618 NOVA LACERDA";2
"510622 NOVA MUTUM";6
"510623 NOVA OLIMPIA";3
"510624 NOVA UBIRATA";1
"510625 NOVA XAVANTINA";4
"510629 PARANAITA";1
"510630 PARANATINGA";1
"510650 POCONE";23
"510665 PONTAL DO ARAGUAIA";1
"510670 PONTE BRANCA";2
"510685 PORTO ESTRELA";4
"510719 RIBEIRAOZINHO";2
"510730 SAO JOSE DO RIO CLARO";1
"510735 SAO JOSE DO XINGU";2
"510760 RONDONOPOLIS";1
"510770 ROSARIO OESTE";27
"510775 SALTO DO CEU";1
"510780 SANTO ANTONIO DO LEVERGER";4
"510787 SAPEZAL";2
"510790 SINOP";13
"510792 SORRISO";4
"510794 TABAPORA";3
"510795 TANGARA DA SERRA";6
"510805 TERRA NOVA DO NORTE";4
"510830 UNIAO DO SUL";1
"510835 VALE DE SAO DOMINGOS";5
"510840 VARZEA GRANDE";8
"510850 VERA";1
"Total";298
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
