Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"510020 AGUA BOA";3
"510025 ALTA FLORESTA";1
"510050 ALTO PARAGUAI";2
"510130 ARENAPOLIS";5
"510170 BARRA DO BUGRES";6
"510190 BRASNORTE";1
"510263 CAMPO NOVO DO PARECIS";1
"510267 CAMPO VERDE";3
"510270 CANARANA";5
"510285 CASTANHEIRA";6
"510300 CHAPADA DOS GUIMARAES";13
"510320 COLIDER";24
"510325 COLNIZA";6
"510335 CONFRESA";4
"510337 COTRIGUACU";1
"510340 CUIABA";82
"510390 GENERAL CARNEIRO";1
"510410 GUARANTA DO NORTE";3
"510452 IPIRANGA DO NORTE";9
"510510 JUARA";4
"510517 JURUENA";1
"510520 JUSCIMEIRA";1
"510600 NORTELANDIA";9
"510618 NOVA LACERDA";1
"510619 NOVA SANTA HELENA";1
"510622 NOVA MUTUM";5
"510623 NOVA OLIMPIA";4
"510625 NOVA XAVANTINA";5
"510628 NOVO SAO JOAQUIM";1
"510629 PARANAITA";1
"510630 PARANATINGA";7
"510637 PEDRA PRETA";34
"510650 POCONE";10
"510665 PONTAL DO ARAGUAIA";1
"510700 POXOREO";1
"510719 RIBEIRAOZINHO";5
"510720 RIO BRANCO";1
"510730 SAO JOSE DO RIO CLARO";2
"510735 SAO JOSE DO XINGU";1
"510760 RONDONOPOLIS";3
"510770 ROSARIO OESTE";17
"510780 SANTO ANTONIO DO LEVERGER";9
"510787 SAPEZAL";1
"510790 SINOP";14
"510792 SORRISO";5
"510795 TANGARA DA SERRA";6
"510805 TERRA NOVA DO NORTE";1
"510830 UNIAO DO SUL";1
"510835 VALE DE SAO DOMINGOS";2
"510840 VARZEA GRANDE";6
"510850 VERA";2
"510860 VILA RICA";2
"Total";340
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
