Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"510020 AGUA BOA";1
"510050 ALTO PARAGUAI";8
"510130 ARENAPOLIS";2
"510170 BARRA DO BUGRES";2
"510180 BARRA DO GARCAS";1
"510190 BRASNORTE";5
"510263 CAMPO NOVO DO PARECIS";23
"510267 CAMPO VERDE";2
"510270 CANARANA";1
"510285 CASTANHEIRA";3
"510300 CHAPADA DOS GUIMARAES";4
"510320 COLIDER";3
"510325 COLNIZA";3
"510340 CUIABA";50
"510390 GENERAL CARNEIRO";1
"510410 GUARANTA DO NORTE";2
"510452 IPIRANGA DO NORTE";3
"510510 JUARA";2
"510558 MARCELANDIA";1
"510562 MIRASSOL D'OESTE";1
"510600 NORTELANDIA";2
"510622 NOVA MUTUM";1
"510623 NOVA OLIMPIA";2
"510625 NOVA XAVANTINA";1
"510630 PARANATINGA";7
"510637 PEDRA PRETA";15
"510650 POCONE";20
"510670 PONTE BRANCA";1
"510718 RIBEIRAO CASCALHEIRA";5
"510719 RIBEIRAOZINHO";1
"510720 RIO BRANCO";10
"510760 RONDONOPOLIS";2
"510770 ROSARIO OESTE";5
"510780 SANTO ANTONIO DO LEVERGER";7
"510790 SINOP";5
"510792 SORRISO";3
"510795 TANGARA DA SERRA";4
"510800 TAPURAH";1
"510810 TESOURO";1
"510830 UNIAO DO SUL";1
"510835 VALE DE SAO DOMINGOS";1
"510840 VARZEA GRANDE";2
"510860 VILA RICA";2
"Total";217
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
