Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"510010 ACORIZAL";1
"510020 AGUA BOA";4
"510025 ALTA FLORESTA";2
"510130 ARENAPOLIS";9
"510140 ARIPUANA";3
"510190 BRASNORTE";5
"510263 CAMPO NOVO DO PARECIS";1
"510267 CAMPO VERDE";3
"510285 CASTANHEIRA";8
"510300 CHAPADA DOS GUIMARAES";2
"510325 COLNIZA";2
"510330 COMODORO";2
"510335 CONFRESA";8
"510340 CUIABA";134
"510410 GUARANTA DO NORTE";2
"510460 ITIQUIRA";2
"510480 JACIARA";18
"510510 JUARA";5
"510517 JURUENA";2
"510530 LUCIARA";1
"510550 VILA BELA DA SANTISSIMA TRINDADE";2
"510558 MARCELANDIA";30
"510562 MIRASSOL D'OESTE";5
"510590 NOBRES";1
"510600 NORTELANDIA";15
"510610 NOSSA SENHORA DO LIVRAMENTO";2
"510622 NOVA MUTUM";4
"510623 NOVA OLIMPIA";8
"510625 NOVA XAVANTINA";3
"510650 POCONE";1
"510665 PONTAL DO ARAGUAIA";3
"510670 PONTE BRANCA";1
"510685 PORTO ESTRELA";1
"510700 POXOREO";1
"510718 RIBEIRAO CASCALHEIRA";1
"510724 SANTA CARMEM";1
"510735 SAO JOSE DO XINGU";4
"510760 RONDONOPOLIS";13
"510780 SANTO ANTONIO DO LEVERGER";3
"510787 SAPEZAL";5
"510790 SINOP";12
"510792 SORRISO";17
"510795 TANGARA DA SERRA";2
"510805 TERRA NOVA DO NORTE";5
"510820 TORIXOREU";1
"510830 UNIAO DO SUL";1
"510840 VARZEA GRANDE";12
"510850 VERA";2
"510890 NOVA MARINGA";2
"510895 NOVA MONTE VERDE";18
"Total";390
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
