Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"510020 AGUA BOA";3
"510025 ALTA FLORESTA";4
"510130 ARENAPOLIS";9
"510140 ARIPUANA";3
"510170 BARRA DO BUGRES";4
"510180 BARRA DO GARCAS";1
"510267 CAMPO VERDE";8
"510270 CANARANA";3
"510285 CASTANHEIRA";4
"510300 CHAPADA DOS GUIMARAES";10
"510320 COLIDER";4
"510325 COLNIZA";5
"510330 COMODORO";2
"510335 CONFRESA";9
"510337 COTRIGUACU";2
"510340 CUIABA";172
"510370 FELIZ NATAL";1
"510410 GUARANTA DO NORTE";6
"510460 ITIQUIRA";3
"510480 JACIARA";15
"510510 JUARA";5
"510517 JURUENA";4
"510525 LUCAS DO RIO VERDE";1
"510550 VILA BELA DA SANTISSIMA TRINDADE";4
"510558 MARCELANDIA";32
"510562 MIRASSOL D'OESTE";4
"510590 NOBRES";3
"510600 NORTELANDIA";1
"510610 NOSSA SENHORA DO LIVRAMENTO";1
"510622 NOVA MUTUM";7
"510623 NOVA OLIMPIA";5
"510624 NOVA UBIRATA";2
"510625 NOVA XAVANTINA";6
"510650 POCONE";4
"510665 PONTAL DO ARAGUAIA";5
"510685 PORTO ESTRELA";1
"510700 POXOREO";3
"510718 RIBEIRAO CASCALHEIRA";5
"510724 SANTA CARMEM";13
"510735 SAO JOSE DO XINGU";3
"510760 RONDONOPOLIS";67
"510780 SANTO ANTONIO DO LEVERGER";2
"510787 SAPEZAL";2
"510790 SINOP";23
"510792 SORRISO";43
"510794 TABAPORA";3
"510795 TANGARA DA SERRA";2
"510805 TERRA NOVA DO NORTE";4
"510830 UNIAO DO SUL";1
"510840 VARZEA GRANDE";36
"510880 NOVA GUARITA";1
"510885 NOVA MARILANDIA";1
"510895 NOVA MONTE VERDE";6
"Total";568
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
