Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"510020 AGUA BOA";2
"510025 ALTA FLORESTA";16
"510130 ARENAPOLIS";14
"510170 BARRA DO BUGRES";5
"510180 BARRA DO GARCAS";1
"510190 BRASNORTE";1
"510263 CAMPO NOVO DO PARECIS";1
"510267 CAMPO VERDE";9
"510270 CANARANA";9
"510285 CASTANHEIRA";3
"510300 CHAPADA DOS GUIMARAES";10
"510320 COLIDER";8
"510325 COLNIZA";6
"510330 COMODORO";2
"510335 CONFRESA";3
"510337 COTRIGUACU";1
"510340 CUIABA";123
"510370 FELIZ NATAL";2
"510410 GUARANTA DO NORTE";5
"510460 ITIQUIRA";2
"510480 JACIARA";3
"510510 JUARA";5
"510517 JURUENA";2
"510520 JUSCIMEIRA";1
"510525 LUCAS DO RIO VERDE";4
"510550 VILA BELA DA SANTISSIMA TRINDADE";2
"510558 MARCELANDIA";6
"510562 MIRASSOL D'OESTE";5
"510590 NOBRES";1
"510600 NORTELANDIA";3
"510622 NOVA MUTUM";27
"510623 NOVA OLIMPIA";7
"510624 NOVA UBIRATA";3
"510625 NOVA XAVANTINA";4
"510628 NOVO SAO JOAQUIM";1
"510629 PARANAITA";42
"510650 POCONE";3
"510665 PONTAL DO ARAGUAIA";3
"510700 POXOREO";2
"510718 RIBEIRAO CASCALHEIRA";4
"510724 SANTA CARMEM";6
"510730 SAO JOSE DO RIO CLARO";1
"510735 SAO JOSE DO XINGU";1
"510760 RONDONOPOLIS";24
"510770 ROSARIO OESTE";19
"510787 SAPEZAL";8
"510790 SINOP";22
"510792 SORRISO";31
"510794 TABAPORA";5
"510795 TANGARA DA SERRA";11
"510800 TAPURAH";1
"510805 TERRA NOVA DO NORTE";6
"510840 VARZEA GRANDE";34
"510850 VERA";3
"510860 VILA RICA";2
"510880 NOVA GUARITA";3
"510885 NOVA MARILANDIA";1
"510890 NOVA MARINGA";1
"Total";530
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
