Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"510020 AGUA BOA";1
"510025 ALTA FLORESTA";12
"510140 ARIPUANA";2
"510170 BARRA DO BUGRES";4
"510180 BARRA DO GARCAS";2
"510267 CAMPO VERDE";6
"510270 CANARANA";2
"510285 CASTANHEIRA";7
"510300 CHAPADA DOS GUIMARAES";12
"510320 COLIDER";8
"510325 COLNIZA";8
"510330 COMODORO";2
"510335 CONFRESA";11
"510337 COTRIGUACU";1
"510340 CUIABA";210
"510370 FELIZ NATAL";1
"510410 GUARANTA DO NORTE";2
"510452 IPIRANGA DO NORTE";6
"510480 JACIARA";18
"510510 JUARA";2
"510517 JURUENA";3
"510520 JUSCIMEIRA";14
"510525 LUCAS DO RIO VERDE";2
"510550 VILA BELA DA SANTISSIMA TRINDADE";1
"510558 MARCELANDIA";3
"510562 MIRASSOL D'OESTE";11
"510590 NOBRES";4
"510600 NORTELANDIA";2
"510619 NOVA SANTA HELENA";1
"510622 NOVA MUTUM";18
"510623 NOVA OLIMPIA";9
"510624 NOVA UBIRATA";1
"510625 NOVA XAVANTINA";3
"510628 NOVO SAO JOAQUIM";1
"510629 PARANAITA";19
"510650 POCONE";7
"510665 PONTAL DO ARAGUAIA";2
"510685 PORTO ESTRELA";1
"510700 POXOREO";3
"510718 RIBEIRAO CASCALHEIRA";1
"510720 RIO BRANCO";1
"510724 SANTA CARMEM";6
"510735 SAO JOSE DO XINGU";2
"510760 RONDONOPOLIS";3
"510770 ROSARIO OESTE";20
"510779 SANTO ANTONIO DO LESTE";2
"510780 SANTO ANTONIO DO LEVERGER";4
"510787 SAPEZAL";1
"510790 SINOP";19
"510792 SORRISO";2
"510794 TABAPORA";1
"510795 TANGARA DA SERRA";9
"510800 TAPURAH";15
"510805 TERRA NOVA DO NORTE";1
"510830 UNIAO DO SUL";2
"510840 VARZEA GRANDE";21
"510850 VERA";2
"510880 NOVA GUARITA";2
"510890 NOVA MARINGA";2
"510895 NOVA MONTE VERDE";2
"Total";540
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
