Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"510020 AGUA BOA";7
"510025 ALTA FLORESTA";2
"510130 ARENAPOLIS";6
"510170 BARRA DO BUGRES";1
"510190 BRASNORTE";2
"510267 CAMPO VERDE";5
"510270 CANARANA";1
"510285 CASTANHEIRA";2
"510300 CHAPADA DOS GUIMARAES";15
"510320 COLIDER";7
"510325 COLNIZA";2
"510330 COMODORO";4
"510335 CONFRESA";4
"510340 CUIABA";131
"510395 GLORIA D'OESTE";1
"510410 GUARANTA DO NORTE";4
"510452 IPIRANGA DO NORTE";12
"510480 JACIARA";7
"510510 JUARA";5
"510517 JURUENA";3
"510520 JUSCIMEIRA";6
"510525 LUCAS DO RIO VERDE";7
"510558 MARCELANDIA";7
"510562 MIRASSOL D'OESTE";2
"510590 NOBRES";2
"510600 NORTELANDIA";1
"510619 NOVA SANTA HELENA";1
"510622 NOVA MUTUM";24
"510623 NOVA OLIMPIA";5
"510624 NOVA UBIRATA";1
"510625 NOVA XAVANTINA";7
"510650 POCONE";11
"510670 PONTE BRANCA";3
"510718 RIBEIRAO CASCALHEIRA";1
"510735 SAO JOSE DO XINGU";3
"510760 RONDONOPOLIS";9
"510770 ROSARIO OESTE";3
"510775 SALTO DO CEU";2
"510780 SANTO ANTONIO DO LEVERGER";1
"510787 SAPEZAL";2
"510790 SINOP";8
"510792 SORRISO";9
"510795 TANGARA DA SERRA";23
"510800 TAPURAH";6
"510805 TERRA NOVA DO NORTE";2
"510830 UNIAO DO SUL";1
"510840 VARZEA GRANDE";20
"510850 VERA";1
"510860 VILA RICA";1
"510880 NOVA GUARITA";6
"510890 NOVA MARINGA";1
"Total";397
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
