Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"510020 AGUA BOA";3
"510025 ALTA FLORESTA";2
"510125 ARAPUTANGA";2
"510130 ARENAPOLIS";12
"510140 ARIPUANA";2
"510170 BARRA DO BUGRES";6
"510190 BRASNORTE";1
"510263 CAMPO NOVO DO PARECIS";3
"510267 CAMPO VERDE";5
"510270 CANARANA";2
"510285 CASTANHEIRA";3
"510300 CHAPADA DOS GUIMARAES";16
"510320 COLIDER";11
"510325 COLNIZA";19
"510330 COMODORO";3
"510337 COTRIGUACU";5
"510340 CUIABA";144
"510370 FELIZ NATAL";1
"510395 GLORIA D'OESTE";21
"510410 GUARANTA DO NORTE";2
"510452 IPIRANGA DO NORTE";7
"510460 ITIQUIRA";1
"510480 JACIARA";6
"510510 JUARA";1
"510517 JURUENA";2
"510520 JUSCIMEIRA";2
"510525 LUCAS DO RIO VERDE";4
"510530 LUCIARA";2
"510558 MARCELANDIA";10
"510590 NOBRES";1
"510618 NOVA LACERDA";3
"510622 NOVA MUTUM";12
"510623 NOVA OLIMPIA";5
"510625 NOVA XAVANTINA";4
"510650 POCONE";9
"510670 PONTE BRANCA";1
"510718 RIBEIRAO CASCALHEIRA";1
"510719 RIBEIRAOZINHO";1
"510720 RIO BRANCO";1
"510735 SAO JOSE DO XINGU";1
"510760 RONDONOPOLIS";9
"510770 ROSARIO OESTE";1
"510780 SANTO ANTONIO DO LEVERGER";9
"510787 SAPEZAL";3
"510790 SINOP";11
"510792 SORRISO";10
"510794 TABAPORA";4
"510795 TANGARA DA SERRA";45
"510800 TAPURAH";4
"510805 TERRA NOVA DO NORTE";5
"510810 TESOURO";1
"510830 UNIAO DO SUL";2
"510840 VARZEA GRANDE";18
"510880 NOVA GUARITA";1
"510890 NOVA MARINGA";2
"510895 NOVA MONTE VERDE";3
"Total";465
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
