Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"510020 AGUA BOA";4
"510025 ALTA FLORESTA";4
"510130 ARENAPOLIS";2
"510170 BARRA DO BUGRES";4
"510267 CAMPO VERDE";2
"510270 CANARANA";3
"510285 CASTANHEIRA";3
"510300 CHAPADA DOS GUIMARAES";32
"510320 COLIDER";4
"510325 COLNIZA";22
"510330 COMODORO";3
"510335 CONFRESA";2
"510340 CUIABA";125
"510370 FELIZ NATAL";2
"510410 GUARANTA DO NORTE";15
"510452 IPIRANGA DO NORTE";4
"510460 ITIQUIRA";1
"510480 JACIARA";8
"510510 JUARA";3
"510517 JURUENA";3
"510520 JUSCIMEIRA";1
"510525 LUCAS DO RIO VERDE";1
"510530 LUCIARA";24
"510558 MARCELANDIA";13
"510562 MIRASSOL D'OESTE";1
"510600 NORTELANDIA";1
"510610 NOSSA SENHORA DO LIVRAMENTO";4
"510615 NOVA BANDEIRANTES";7
"510618 NOVA LACERDA";3
"510622 NOVA MUTUM";14
"510623 NOVA OLIMPIA";1
"510624 NOVA UBIRATA";1
"510625 NOVA XAVANTINA";5
"510628 NOVO SAO JOAQUIM";1
"510630 PARANATINGA";1
"510650 POCONE";63
"510665 PONTAL DO ARAGUAIA";1
"510719 RIBEIRAOZINHO";1
"510735 SAO JOSE DO XINGU";1
"510760 RONDONOPOLIS";13
"510770 ROSARIO OESTE";5
"510775 SALTO DO CEU";1
"510780 SANTO ANTONIO DO LEVERGER";8
"510787 SAPEZAL";3
"510790 SINOP";12
"510792 SORRISO";12
"510795 TANGARA DA SERRA";61
"510800 TAPURAH";2
"510805 TERRA NOVA DO NORTE";2
"510840 VARZEA GRANDE";14
"510850 VERA";1
"510860 VILA RICA";1
"510890 NOVA MARINGA";1
"510895 NOVA MONTE VERDE";1
"Total";527
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
