Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"510020 AGUA BOA";5
"510025 ALTA FLORESTA";1
"510130 ARENAPOLIS";4
"510170 BARRA DO BUGRES";4
"510267 CAMPO VERDE";4
"510270 CANARANA";7
"510285 CASTANHEIRA";7
"510300 CHAPADA DOS GUIMARAES";28
"510320 COLIDER";20
"510325 COLNIZA";6
"510330 COMODORO";2
"510335 CONFRESA";1
"510340 CUIABA";123
"510390 GENERAL CARNEIRO";1
"510410 GUARANTA DO NORTE";5
"510452 IPIRANGA DO NORTE";2
"510480 JACIARA";4
"510510 JUARA";2
"510520 JUSCIMEIRA";7
"510525 LUCAS DO RIO VERDE";2
"510558 MARCELANDIA";3
"510600 NORTELANDIA";1
"510615 NOVA BANDEIRANTES";2
"510618 NOVA LACERDA";1
"510622 NOVA MUTUM";7
"510623 NOVA OLIMPIA";3
"510624 NOVA UBIRATA";2
"510625 NOVA XAVANTINA";7
"510629 PARANAITA";1
"510630 PARANATINGA";2
"510650 POCONE";30
"510665 PONTAL DO ARAGUAIA";2
"510700 POXOREO";1
"510720 RIO BRANCO";1
"510730 SAO JOSE DO RIO CLARO";2
"510770 ROSARIO OESTE";20
"510779 SANTO ANTONIO DO LESTE";2
"510780 SANTO ANTONIO DO LEVERGER";2
"510787 SAPEZAL";5
"510790 SINOP";14
"510792 SORRISO";10
"510795 TANGARA DA SERRA";9
"510805 TERRA NOVA DO NORTE";2
"510830 UNIAO DO SUL";1
"510840 VARZEA GRANDE";16
"510850 VERA";1
"510890 NOVA MARINGA";1
"Total";383
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
