Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso do Sul
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"500020 AGUA CLARA";1
"500070 ANASTACIO";2
"500085 ANGELICA";1
"500100 APARECIDA DO TABOADO";1
"500110 AQUIDAUANA";13
"500124 ARAL MOREIRA";7
"500200 BATAYPORA";2
"500210 BELA VISTA";4
"500215 BODOQUENA";1
"500220 BONITO";4
"500290 CASSILANDIA";1
"500295 CHAPADAO DO SUL";4
"500315 CORONEL SAPUCAIA";1
"500320 CORUMBA";5
"500345 DEODAPOLIS";1
"500370 DOURADOS";6
"500380 FATIMA DO SUL";31
"500410 GUIA LOPES DA LAGUNA";5
"500430 IGUATEMI";1
"500440 INOCENCIA";1
"500450 ITAPORA";1
"500500 JARDIM";3
"500540 MARACAJU";3
"500570 NAVIRAI";4
"500600 NOVA ALVORADA DO SUL";2
"500660 PONTA PORA";6
"500690 PORTO MURTINHO";4
"500720 RIO BRILHANTE";13
"500730 RIO NEGRO";9
"500750 ROCHEDO";1
"500755 SANTA RITA DO PARDO";1
"500769 SAO GABRIEL DO OESTE";10
"500790 SIDROLANDIA";4
"500793 SONORA";3
"500800 TERENOS";2
"Total";158
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
