Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso do Sul
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"500080 ANAURILANDIA";10
"500090 ANTONIO JOAO";1
"500100 APARECIDA DO TABOADO";35
"500110 AQUIDAUANA";2
"500200 BATAYPORA";2
"500210 BELA VISTA";7
"500215 BODOQUENA";1
"500220 BONITO";2
"500230 BRASILANDIA";2
"500240 CAARAPO";7
"500260 CAMAPUA";2
"500280 CARACOL";1
"500295 CHAPADAO DO SUL";4
"500310 CORGUINHO";4
"500320 CORUMBA";12
"500325 COSTA RICA";1
"500330 COXIM";6
"500345 DEODAPOLIS";1
"500370 DOURADOS";39
"500390 FIGUEIRAO";1
"500410 GUIA LOPES DA LAGUNA";1
"500440 INOCENCIA";2
"500450 ITAPORA";1
"500470 IVINHEMA";10
"500500 JARDIM";12
"500520 LADARIO";6
"500525 LAGUNA CARAPA";1
"500540 MARACAJU";12
"500570 NAVIRAI";31
"500635 PARANHOS";1
"500640 PEDRO GOMES";16
"500660 PONTA PORA";16
"500710 RIBAS DO RIO PARDO";1
"500740 RIO VERDE DE MATO GROSSO";1
"500750 ROCHEDO";4
"500755 SANTA RITA DO PARDO";2
"500769 SAO GABRIEL DO OESTE";2
"500770 SETE QUEDAS";1
"500790 SIDROLANDIA";4
"500793 SONORA";1
"500795 TACURU";9
"500797 TAQUARUSSU";2
"Total";276
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
