Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso do Sul
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"500025 ALCINOPOLIS";2
"500060 AMAMBAI";1
"500070 ANASTACIO";2
"500080 ANAURILANDIA";3
"500100 APARECIDA DO TABOADO";75
"500200 BATAYPORA";5
"500210 BELA VISTA";1
"500215 BODOQUENA";1
"500220 BONITO";6
"500230 BRASILANDIA";1
"500240 CAARAPO";5
"500260 CAMAPUA";2
"500280 CARACOL";1
"500310 CORGUINHO";9
"500320 CORUMBA";9
"500330 COXIM";1
"500345 DEODAPOLIS";2
"500370 DOURADOS";19
"500375 ELDORADO";2
"500390 FIGUEIRAO";1
"500410 GUIA LOPES DA LAGUNA";10
"500430 IGUATEMI";1
"500440 INOCENCIA";2
"500460 ITAQUIRAI";1
"500470 IVINHEMA";1
"500500 JARDIM";15
"500520 LADARIO";5
"500540 MARACAJU";6
"500570 NAVIRAI";17
"500580 NIOAQUE";1
"500600 NOVA ALVORADA DO SUL";1
"500660 PONTA PORA";21
"500710 RIBAS DO RIO PARDO";1
"500720 RIO BRILHANTE";3
"500730 RIO NEGRO";2
"500740 RIO VERDE DE MATO GROSSO";9
"500769 SAO GABRIEL DO OESTE";3
"500770 SETE QUEDAS";9
"500790 SIDROLANDIA";6
"500795 TACURU";1
"500800 TERENOS";1
"Total";264
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
