Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso do Sul
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"500020 AGUA CLARA";2
"500070 ANASTACIO";2
"500080 ANAURILANDIA";8
"500100 APARECIDA DO TABOADO";37
"500200 BATAYPORA";1
"500210 BELA VISTA";1
"500215 BODOQUENA";1
"500220 BONITO";1
"500230 BRASILANDIA";2
"500240 CAARAPO";4
"500295 CHAPADAO DO SUL";1
"500310 CORGUINHO";1
"500315 CORONEL SAPUCAIA";3
"500320 CORUMBA";3
"500350 DOURADINA";1
"500370 DOURADOS";6
"500450 ITAPORA";3
"500470 IVINHEMA";4
"500500 JARDIM";3
"500520 LADARIO";8
"500570 NAVIRAI";7
"500580 NIOAQUE";2
"500660 PONTA PORA";3
"500710 RIBAS DO RIO PARDO";1
"500740 RIO VERDE DE MATO GROSSO";1
"500769 SAO GABRIEL DO OESTE";4
"500770 SETE QUEDAS";9
"500790 SIDROLANDIA";6
"500793 SONORA";1
"500795 TACURU";1
"500800 TERENOS";3
"Total";130
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
