Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso do Sul
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"500060 AMAMBAI";1
"500070 ANASTACIO";1
"500085 ANGELICA";1
"500090 ANTONIO JOAO";1
"500110 AQUIDAUANA";10
"500124 ARAL MOREIRA";1
"500150 BANDEIRANTES";1
"500200 BATAYPORA";3
"500210 BELA VISTA";4
"500215 BODOQUENA";2
"500220 BONITO";4
"500230 BRASILANDIA";1
"500260 CAMAPUA";4
"500280 CARACOL";4
"500290 CASSILANDIA";2
"500295 CHAPADAO DO SUL";4
"500320 CORUMBA";4
"500345 DEODAPOLIS";2
"500350 DOURADINA";1
"500370 DOURADOS";13
"500380 FATIMA DO SUL";15
"500430 IGUATEMI";1
"500440 INOCENCIA";2
"500450 ITAPORA";5
"500460 ITAQUIRAI";5
"500500 JARDIM";2
"500570 NAVIRAI";4
"500580 NIOAQUE";3
"500620 NOVA ANDRADINA";2
"500660 PONTA PORA";5
"500690 PORTO MURTINHO";15
"500720 RIO BRILHANTE";2
"500730 RIO NEGRO";3
"500750 ROCHEDO";1
"500769 SAO GABRIEL DO OESTE";5
"500790 SIDROLANDIA";3
"500800 TERENOS";2
"Total";139
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
