Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso do Sul
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"500060 AMAMBAI";3
"500070 ANASTACIO";9
"500110 AQUIDAUANA";1
"500124 ARAL MOREIRA";1
"500215 BODOQUENA";1
"500220 BONITO";3
"500230 BRASILANDIA";3
"500240 CAARAPO";1
"500260 CAMAPUA";1
"500280 CARACOL";7
"500295 CHAPADAO DO SUL";10
"500315 CORONEL SAPUCAIA";2
"500320 CORUMBA";12
"500325 COSTA RICA";1
"500345 DEODAPOLIS";3
"500350 DOURADINA";1
"500370 DOURADOS";16
"500375 ELDORADO";3
"500380 FATIMA DO SUL";2
"500410 GUIA LOPES DA LAGUNA";2
"500430 IGUATEMI";4
"500450 ITAPORA";4
"500500 JARDIM";3
"500525 LAGUNA CARAPA";2
"500570 NAVIRAI";5
"500580 NIOAQUE";1
"500600 NOVA ALVORADA DO SUL";3
"500660 PONTA PORA";7
"500690 PORTO MURTINHO";27
"500720 RIO BRILHANTE";5
"500730 RIO NEGRO";2
"500750 ROCHEDO";1
"500769 SAO GABRIEL DO OESTE";10
"500790 SIDROLANDIA";4
"500793 SONORA";10
"500795 TACURU";2
"Total";172
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
