Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso do Sul
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"500060 AMAMBAI";14
"500085 ANGELICA";2
"500110 AQUIDAUANA";7
"500124 ARAL MOREIRA";1
"500200 BATAYPORA";2
"500230 BRASILANDIA";1
"500280 CARACOL";3
"500295 CHAPADAO DO SUL";7
"500315 CORONEL SAPUCAIA";1
"500320 CORUMBA";18
"500325 COSTA RICA";3
"500350 DOURADINA";1
"500370 DOURADOS";13
"500380 FATIMA DO SUL";2
"500450 ITAPORA";2
"500460 ITAQUIRAI";5
"500500 JARDIM";14
"500540 MARACAJU";1
"500570 NAVIRAI";11
"500580 NIOAQUE";2
"500620 NOVA ANDRADINA";1
"500660 PONTA PORA";3
"500690 PORTO MURTINHO";10
"500720 RIO BRILHANTE";22
"500730 RIO NEGRO";1
"500769 SAO GABRIEL DO OESTE";3
"500790 SIDROLANDIA";3
"500793 SONORA";1
"500800 TERENOS";5
"Total";159
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
