Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso do Sul
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"500060 AMAMBAI";23
"500100 APARECIDA DO TABOADO";1
"500110 AQUIDAUANA";1
"500124 ARAL MOREIRA";1
"500150 BANDEIRANTES";1
"500200 BATAYPORA";3
"500220 BONITO";3
"500260 CAMAPUA";2
"500280 CARACOL";1
"500295 CHAPADAO DO SUL";3
"500315 CORONEL SAPUCAIA";1
"500320 CORUMBA";26
"500325 COSTA RICA";1
"500345 DEODAPOLIS";1
"500370 DOURADOS";8
"500375 ELDORADO";4
"500380 FATIMA DO SUL";4
"500390 FIGUEIRAO";1
"500430 IGUATEMI";5
"500450 ITAPORA";2
"500460 ITAQUIRAI";2
"500500 JARDIM";5
"500520 LADARIO";14
"500525 LAGUNA CARAPA";1
"500540 MARACAJU";1
"500570 NAVIRAI";19
"500580 NIOAQUE";3
"500600 NOVA ALVORADA DO SUL";29
"500640 PEDRO GOMES";2
"500660 PONTA PORA";10
"500690 PORTO MURTINHO";5
"500710 RIBAS DO RIO PARDO";1
"500720 RIO BRILHANTE";18
"500730 RIO NEGRO";2
"500740 RIO VERDE DE MATO GROSSO";1
"500750 ROCHEDO";1
"500769 SAO GABRIEL DO OESTE";12
"500770 SETE QUEDAS";5
"500790 SIDROLANDIA";6
"500793 SONORA";10
"500795 TACURU";2
"500800 TERENOS";2
"Total";243
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
