Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso do Sul
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"500080 ANAURILANDIA";1
"500085 ANGELICA";1
"500100 APARECIDA DO TABOADO";2
"500110 AQUIDAUANA";1
"500124 ARAL MOREIRA";1
"500150 BANDEIRANTES";1
"500200 BATAYPORA";3
"500215 BODOQUENA";1
"500220 BONITO";1
"500230 BRASILANDIA";6
"500260 CAMAPUA";3
"500280 CARACOL";1
"500295 CHAPADAO DO SUL";3
"500320 CORUMBA";22
"500345 DEODAPOLIS";5
"500350 DOURADINA";2
"500370 DOURADOS";32
"500375 ELDORADO";6
"500380 FATIMA DO SUL";1
"500390 FIGUEIRAO";11
"500450 ITAPORA";1
"500460 ITAQUIRAI";4
"500490 JARAGUARI";1
"500500 JARDIM";4
"500520 LADARIO";11
"500525 LAGUNA CARAPA";19
"500560 MIRANDA";2
"500570 NAVIRAI";29
"500580 NIOAQUE";3
"500600 NOVA ALVORADA DO SUL";27
"500640 PEDRO GOMES";3
"500660 PONTA PORA";21
"500690 PORTO MURTINHO";5
"500710 RIBAS DO RIO PARDO";1
"500720 RIO BRILHANTE";12
"500730 RIO NEGRO";1
"500740 RIO VERDE DE MATO GROSSO";5
"500750 ROCHEDO";7
"500755 SANTA RITA DO PARDO";1
"500769 SAO GABRIEL DO OESTE";13
"500770 SETE QUEDAS";21
"500790 SIDROLANDIA";4
"500793 SONORA";8
"500795 TACURU";9
"500800 TERENOS";1
"Total";317
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
