Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso do Sul
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"500060 AMAMBAI";1
"500080 ANAURILANDIA";9
"500085 ANGELICA";1
"500090 ANTONIO JOAO";1
"500100 APARECIDA DO TABOADO";4
"500110 AQUIDAUANA";4
"500124 ARAL MOREIRA";3
"500210 BELA VISTA";1
"500220 BONITO";4
"500240 CAARAPO";2
"500260 CAMAPUA";3
"500295 CHAPADAO DO SUL";2
"500310 CORGUINHO";1
"500320 CORUMBA";10
"500325 COSTA RICA";5
"500330 COXIM";34
"500345 DEODAPOLIS";1
"500370 DOURADOS";18
"500375 ELDORADO";2
"500380 FATIMA DO SUL";3
"500390 FIGUEIRAO";23
"500410 GUIA LOPES DA LAGUNA";11
"500430 IGUATEMI";2
"500450 ITAPORA";2
"500470 IVINHEMA";2
"500500 JARDIM";4
"500515 JUTI";2
"500520 LADARIO";21
"500525 LAGUNA CARAPA";16
"500540 MARACAJU";9
"500560 MIRANDA";1
"500570 NAVIRAI";8
"500600 NOVA ALVORADA DO SUL";39
"500635 PARANHOS";23
"500640 PEDRO GOMES";23
"500660 PONTA PORA";30
"500690 PORTO MURTINHO";1
"500710 RIBAS DO RIO PARDO";5
"500720 RIO BRILHANTE";6
"500740 RIO VERDE DE MATO GROSSO";38
"500750 ROCHEDO";15
"500769 SAO GABRIEL DO OESTE";6
"500770 SETE QUEDAS";22
"500790 SIDROLANDIA";3
"500793 SONORA";3
"500795 TACURU";4
"Total";428
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
