Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso do Sul
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"500060 AMAMBAI";2
"500080 ANAURILANDIA";102
"500085 ANGELICA";2
"500090 ANTONIO JOAO";1
"500100 APARECIDA DO TABOADO";3
"500124 ARAL MOREIRA";2
"500200 BATAYPORA";11
"500210 BELA VISTA";6
"500220 BONITO";2
"500240 CAARAPO";11
"500260 CAMAPUA";6
"500280 CARACOL";1
"500295 CHAPADAO DO SUL";7
"500310 CORGUINHO";29
"500320 CORUMBA";13
"500325 COSTA RICA";1
"500330 COXIM";28
"500345 DEODAPOLIS";3
"500370 DOURADOS";25
"500375 ELDORADO";1
"500390 FIGUEIRAO";7
"500410 GUIA LOPES DA LAGUNA";3
"500440 INOCENCIA";2
"500450 ITAPORA";2
"500460 ITAQUIRAI";4
"500470 IVINHEMA";10
"500500 JARDIM";4
"500515 JUTI";9
"500520 LADARIO";49
"500525 LAGUNA CARAPA";11
"500540 MARACAJU";25
"500560 MIRANDA";7
"500570 NAVIRAI";3
"500580 NIOAQUE";3
"500600 NOVA ALVORADA DO SUL";1
"500635 PARANHOS";9
"500640 PEDRO GOMES";15
"500660 PONTA PORA";4
"500710 RIBAS DO RIO PARDO";14
"500720 RIO BRILHANTE";9
"500730 RIO NEGRO";1
"500740 RIO VERDE DE MATO GROSSO";7
"500750 ROCHEDO";2
"500755 SANTA RITA DO PARDO";3
"500769 SAO GABRIEL DO OESTE";6
"500770 SETE QUEDAS";21
"500790 SIDROLANDIA";6
"500793 SONORA";2
"500795 TACURU";2
"500800 TERENOS";2
"Total";499
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
