Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Mato Grosso do Sul
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"500020 AGUA CLARA";3
"500060 AMAMBAI";6
"500070 ANASTACIO";1
"500080 ANAURILANDIA";36
"500090 ANTONIO JOAO";1
"500100 APARECIDA DO TABOADO";6
"500110 AQUIDAUANA";8
"500124 ARAL MOREIRA";1
"500150 BANDEIRANTES";1
"500200 BATAYPORA";1
"500210 BELA VISTA";4
"500215 BODOQUENA";2
"500220 BONITO";1
"500230 BRASILANDIA";2
"500240 CAARAPO";10
"500260 CAMAPUA";3
"500295 CHAPADAO DO SUL";3
"500310 CORGUINHO";21
"500320 CORUMBA";4
"500325 COSTA RICA";1
"500330 COXIM";20
"500345 DEODAPOLIS";1
"500350 DOURADINA";2
"500370 DOURADOS";31
"500375 ELDORADO";3
"500410 GUIA LOPES DA LAGUNA";3
"500440 INOCENCIA";2
"500450 ITAPORA";3
"500460 ITAQUIRAI";1
"500470 IVINHEMA";3
"500500 JARDIM";3
"500515 JUTI";2
"500520 LADARIO";15
"500525 LAGUNA CARAPA";1
"500540 MARACAJU";21
"500560 MIRANDA";1
"500570 NAVIRAI";15
"500580 NIOAQUE";2
"500640 PEDRO GOMES";5
"500660 PONTA PORA";7
"500710 RIBAS DO RIO PARDO";5
"500740 RIO VERDE DE MATO GROSSO";16
"500755 SANTA RITA DO PARDO";2
"500769 SAO GABRIEL DO OESTE";7
"500770 SETE QUEDAS";31
"500790 SIDROLANDIA";5
"500795 TACURU";2
"500800 TERENOS";1
"Total";325
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
