Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"310070 AGUA COMPRIDA";4
"310150 ALEM PARAIBA";1
"310160 ALFENAS";7
"310240 ALVORADA DE MINAS";2
"310260 ANDRADAS";8
"310280 ANDRELANDIA";15
"310340 ARACUAI";2
"310350 ARAGUARI";24
"310375 ARAPORA";3
"310390 ARAUJOS";1
"310400 ARAXA";12
"310420 ARCOS";2
"310490 BAEPENDI";2
"310520 BANDEIRA";1
"310560 BARBACENA";6
"310630 BELO ORIENTE";9
"310670 BETIM";43
"310710 BOA ESPERANCA";5
"310740 BOM DESPACHO";1
"310800 BOM SUCESSO";1
"310830 BORDA DA MATA";1
"310890 BRAZOPOLIS";4
"310900 BRUMADINHO";57
"310910 BUENO BRANDAO";1
"310930 BURITIS";1
"310970 CACHOEIRA DE MINAS";1
"311010 CAIANA";18
"311020 CAJURI";1
"311030 CALDAS";16
"311060 CAMBUI";7
"311090 CAMPANHA";12
"311120 CAMPO BELO";39
"311140 CAMPO FLORIDO";1
"311260 CAPINOPOLIS";10
"311330 CARANGOLA";4
"311340 CARATINGA";1
"311370 CARLOS CHAGAS";6
"311380 CARMESIA";2
"311420 CARMO DO CAJURU";5
"311430 CARMO DO PARANAIBA";5
"311450 CARMOPOLIS DE MINAS";23
"311455 CARNEIRINHO";1
"311500 CASCALHO RICO";4
"311510 CASSIA";2
"311530 CATAGUASES";45
"311660 CLAUDIO";2
"311710 CONCEICAO DA APARECIDA";2
"311780 CONCEICAO DOS OUROS";4
"311830 CONSELHEIRO LAFAIETE";7
"311860 CONTAGEM";10
"311890 CORDISBURGO";13
"311940 CORONEL FABRICIANO";13
"311995 CORREGO FUNDO";1
"312090 CURVELO";8
"312230 DIVINOPOLIS";10
"312310 DORES DE GUANHAES";1
"312390 ENTRE RIOS DE MINAS";3
"312410 ESMERALDAS";1
"312430 ESPINOSA";2
"312510 EXTREMA";2
"312595 FERVEDOURO";4
"312710 FRUTAL";6
"312770 GOVERNADOR VALADARES";22
"312800 GUANHAES";10
"312830 GUARANESIA";3
"312840 GUARANI";5
"312920 HELIODORA";8
"312940 IBERTIOGA";1
"312980 IBIRITE";38
"312990 IBITIURA DE MINAS";1
"313010 IGARAPE";5
"313050 ILICINEA";4
"313065 INDAIABIRA";2
"313150 IPUIUNA";5
"313170 ITABIRA";11
"313220 ITAGUARA";2
"313240 ITAJUBA";8
"313250 ITAMARANDIBA";9
"313310 ITANHANDU";6
"313320 ITANHOMI";2
"313330 ITAOBIM";8
"313340 ITAPAGIPE";5
"313370 ITATIAIUCU";14
"313375 ITAU DE MINAS";9
"313380 ITAUNA";2
"313420 ITUIUTABA";1
"313440 ITURAMA";1
"313490 JACUTINGA";2
"313510 JANAUBA";9
"313560 JEQUITAI";2
"313600 JOAIMA";35
"313620 JOAO MONLEVADE";1
"313630 JOAO PINHEIRO";14
"313652 JOSE GONCALVES DE MINAS";6
"313670 JUIZ DE FORA";34
"313720 LAGOA DA PRATA";22
"313750 LAGOA FORMOSA";23
"313753 LAGOA GRANDE";4
"313780 LAMBARI";4
"313867 LUISBURGO";1
"313880 LUZ";2
"313900 MACHADO";9
"313960 MANTENA";17
"314000 MARIANA";9
"314050 MARTINHO CAMPOS";2
"314070 MATEUS LEME";6
"314190 MINDURI";5
"314230 MOEDA";2
"314300 MONTE BELO";1
"314310 MONTE CARMELO";1
"314330 MONTES CLAROS";12
"314340 MONTE SIAO";12
"314350 MORADA NOVA DE MINAS";3
"314435 NAQUE";3
"314480 NOVA LIMA";1
"314520 NOVA SERRANA";27
"314570 OLIVEIRA FORTES";1
"314590 OURO BRANCO";9
"314600 OURO FINO";1
"314610 OURO PRETO";7
"314710 PARA DE MINAS";12
"314730 PARAISOPOLIS";3
"314800 PATOS DE MINAS";16
"314810 PATROCINIO";35
"314830 PAULA CANDIDO";80
"314870 PEDRA AZUL";3
"314940 PEDRO TEIXEIRA";1
"314995 PERIQUITO";4
"315015 PIEDADE DE CARATINGA";1
"315090 PIRANGUCU";9
"315100 PIRANGUINHO";1
"315110 PIRAPETINGA";5
"315170 POCO FUNDO";1
"315180 POCOS DE CALDAS";51
"315240 POTE";7
