Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"310050 ACUCENA";1
"310150 ALEM PARAIBA";80
"310160 ALFENAS";28
"310240 ALVORADA DE MINAS";3
"310260 ANDRADAS";5
"310285 ANGELANDIA";3
"310340 ARACUAI";1
"310350 ARAGUARI";8
"310375 ARAPORA";3
"310390 ARAUJOS";1
"310400 ARAXA";12
"310420 ARCOS";1
"310445 ARICANDUVA";2
"310490 BAEPENDI";2
"310520 BANDEIRA";1
"310630 BELO ORIENTE";3
"310670 BETIM";33
"310680 BIAS FORTES";6
"310710 BOA ESPERANCA";9
"310740 BOM DESPACHO";43
"310800 BOM SUCESSO";2
"310825 BONITO DE MINAS";1
"310830 BORDA DA MATA";7
"310890 BRAZOPOLIS";5
"310900 BRUMADINHO";1
"310910 BUENO BRANDAO";17
"310920 BUENOPOLIS";3
"310930 BURITIS";1
"310960 CACHOEIRA DA PRATA";8
"310980 CACHOEIRA DOURADA";1
"311030 CALDAS";1
"311050 CAMANDUCAIA";21
"311060 CAMBUI";3
"311090 CAMPANHA";4
"311110 CAMPINA VERDE";1
"311250 CAPIM BRANCO";17
"311260 CAPINOPOLIS";22
"311340 CARATINGA";8
"311350 CARBONITA";1
"311370 CARLOS CHAGAS";8
"311420 CARMO DO CAJURU";7
"311430 CARMO DO PARANAIBA";4
"311455 CARNEIRINHO";1
"311510 CASSIA";1
"311530 CATAGUASES";20
"311545 CATUJI";1
"311560 CEDRO DO ABAETE";2
"311783 CONEGO MARINHO";30
"311830 CONSELHEIRO LAFAIETE";7
"311890 CORDISBURGO";1
"311940 CORONEL FABRICIANO";22
"312070 CRUZEIRO DA FORTALEZA";8
"312090 CURVELO";6
"312110 DELFIM MOREIRA";3
"312230 DIVINOPOLIS";1
"312250 DOM CAVATI";11
"312270 DOM SILVERIO";1
"312350 DOURADOQUARA";12
"312410 ESMERALDAS";17
"312430 ESPINOSA";2
"312470 ESTRELA DO INDAIA";12
"312510 EXTREMA";9
"312640 FORTUNA DE MINAS";6
"312650 FRANCISCO BADARO";3
"312695 FREI LAGONEGRO";2
