Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"310050 ACUCENA";3
"310070 AGUA COMPRIDA";2
"310150 ALEM PARAIBA";62
"310160 ALFENAS";18
"310260 ANDRADAS";7
"310280 ANDRELANDIA";3
"310350 ARAGUARI";6
"310375 ARAPORA";1
"310390 ARAUJOS";1
"310400 ARAXA";21
"310450 ARINOS";2
"310490 BAEPENDI";1
"310520 BANDEIRA";1
"310630 BELO ORIENTE";1
"310660 BERTOPOLIS";4
"310670 BETIM";22
"310680 BIAS FORTES";7
"310710 BOA ESPERANCA";9
"310740 BOM DESPACHO";47
"310800 BOM SUCESSO";1
"310825 BONITO DE MINAS";1
"310830 BORDA DA MATA";2
"310890 BRAZOPOLIS";8
"310900 BRUMADINHO";5
"310910 BUENO BRANDAO";3
"310930 BURITIS";7
"310980 CACHOEIRA DOURADA";8
"311030 CALDAS";1
"311050 CAMANDUCAIA";3
"311060 CAMBUI";8
"311090 CAMPANHA";6
"311110 CAMPINA VERDE";1
"311140 CAMPO FLORIDO";1
"311200 CANDEIAS";3
"311240 CAPETINGA";1
"311250 CAPIM BRANCO";1
"311260 CAPINOPOLIS";23
"311290 CAPUTIRA";1
"311340 CARATINGA";5
"311370 CARLOS CHAGAS";13
"311420 CARMO DO CAJURU";9
"311430 CARMO DO PARANAIBA";1
"311455 CARNEIRINHO";1
"311510 CASSIA";1
"311545 CATUJI";2
"311560 CEDRO DO ABAETE";2
"311660 CLAUDIO";1
"311710 CONCEICAO DA APARECIDA";12
"311780 CONCEICAO DOS OUROS";1
"311783 CONEGO MARINHO";14
"311830 CONSELHEIRO LAFAIETE";37
"311860 CONTAGEM";5
"311890 CORDISBURGO";2
"311940 CORONEL FABRICIANO";23
"311995 CORREGO FUNDO";1
"312070 CRUZEIRO DA FORTALEZA";4
"312090 CURVELO";7
"312110 DELFIM MOREIRA";1
"312230 DIVINOPOLIS";1
"312350 DOURADOQUARA";10
"312390 ENTRE RIOS DE MINAS";1
"312410 ESMERALDAS";14
"312430 ESPINOSA";12
"312470 ESTRELA DO INDAIA";4
"312510 EXTREMA";16
"312640 FORTUNA DE MINAS";4
"312695 FREI LAGONEGRO";1
"312770 GOVERNADOR VALADARES";54
"312800 GUANHAES";8
"312810 GUAPE";1
"312830 GUARANESIA";1
"312870 GUAXUPE";2
"312910 GURINHATA";5
"312920 HELIODORA";1
"312980 IBIRITE";8
"312990 IBITIURA DE MINAS";1
"313110 INIMUTABA";45
"313150 IPUIUNA";1
"313170 ITABIRA";5
"313220 ITAGUARA";9
"313240 ITAJUBA";9
"313250 ITAMARANDIBA";5
"313310 ITANHANDU";1
"313330 ITAOBIM";14
"313340 ITAPAGIPE";1
"313360 ITAPEVA";5
"313375 ITAU DE MINAS";2
"313380 ITAUNA";1
"313420 ITUIUTABA";21
"313440 ITURAMA";13
"313460 JABOTICATUBAS";1
"313480 JACUI";5
"313490 JACUTINGA";2
"313510 JANAUBA";2
"313550 JEQUERI";5
"313600 JOAIMA";1
"313652 JOSE GONCALVES DE MINAS";2
"313655 JOSE RAYDAN";1
"313665 JUATUBA";19
"313670 JUIZ DE FORA";132
"313710 LAGAMAR";3
"313720 LAGOA DA PRATA";5
"313750 LAGOA FORMOSA";61
"313780 LAMBARI";1
"313835 LEME DO PRADO";1
"313867 LUISBURGO";1
"313900 MACHADO";5
"313960 MANTENA";14
"313990 MARIA DA FE";5
"314000 MARIANA";3
"314030 MARLIERIA";6
"314040 MARMELOPOLIS";1
"314070 MATEUS LEME";2
"314085 MATIAS CARDOSO";1
"314190 MINDURI";1
"314310 MONTE CARMELO";2
"314320 MONTE SANTO DE MINAS";12
