Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"310150 ALEM PARAIBA";33
"310160 ALFENAS";4
"310200 ALTEROSA";1
"310260 ANDRADAS";5
"310280 ANDRELANDIA";2
"310350 ARAGUARI";12
"310390 ARAUJOS";1
"310400 ARAXA";53
"310490 BAEPENDI";2
"310660 BERTOPOLIS";10
"310670 BETIM";32
"310710 BOA ESPERANCA";6
"310740 BOM DESPACHO";14
"310800 BOM SUCESSO";1
"310890 BRAZOPOLIS";1
"310900 BRUMADINHO";6
"310910 BUENO BRANDAO";13
"310930 BURITIS";11
"310960 CACHOEIRA DA PRATA";1
"311030 CALDAS";2
"311090 CAMPANHA";14
"311110 CAMPINA VERDE";2
"311120 CAMPO BELO";1
"311140 CAMPO FLORIDO";1
"311200 CANDEIAS";2
"311260 CAPINOPOLIS";2
"311290 CAPUTIRA";1
"311340 CARATINGA";6
"311370 CARLOS CHAGAS";6
"311420 CARMO DO CAJURU";3
"311450 CARMOPOLIS DE MINAS";2
"311510 CASSIA";1
"311545 CATUJI";3
"311680 COLUNA";1
"311710 CONCEICAO DA APARECIDA";1
"311783 CONEGO MARINHO";5
"311830 CONSELHEIRO LAFAIETE";14
"311860 CONTAGEM";2
"311890 CORDISBURGO";7
"311940 CORONEL FABRICIANO";15
"312050 CRISTINA";1
"312070 CRUZEIRO DA FORTALEZA";9
"312090 CURVELO";8
"312250 DOM CAVATI";1
"312350 DOURADOQUARA";3
"312390 ENTRE RIOS DE MINAS";2
"312410 ESMERALDAS";6
"312470 ESTRELA DO INDAIA";8
"312510 EXTREMA";11
"312630 FORTALEZA DE MINAS";2
"312640 FORTUNA DE MINAS";1
"312710 FRUTAL";5
"312770 GOVERNADOR VALADARES";35
"312800 GUANHAES";9
"312810 GUAPE";1
"312830 GUARANESIA";4
"312840 GUARANI";1
"312870 GUAXUPE";2
"312910 GURINHATA";2
"312920 HELIODORA";2
"312980 IBIRITE";8
"313150 IPUIUNA";1
"313170 ITABIRA";9
"313220 ITAGUARA";1
"313240 ITAJUBA";14
"313250 ITAMARANDIBA";2
"313330 ITAOBIM";1
"313340 ITAPAGIPE";2
"313360 ITAPEVA";10
"313370 ITATIAIUCU";3
"313375 ITAU DE MINAS";5
"313420 ITUIUTABA";2
"313440 ITURAMA";1
"313480 JACUI";9
"313510 JANAUBA";3
"313550 JEQUERI";10
"313665 JUATUBA";23
"313670 JUIZ DE FORA";67
"313710 LAGAMAR";2
"313750 LAGOA FORMOSA";6
"313780 LAMBARI";6
"313820 LAVRAS";2
"313900 MACHADO";2
"313960 MANTENA";14
"313990 MARIA DA FE";12
"314000 MARIANA";1
"314080 MATIAS BARBOSA";1
"314085 MATIAS CARDOSO";1
"314130 MEDEIROS";3
"314320 MONTE SANTO DE MINAS";1
"314330 MONTES CLAROS";17
"314340 MONTE SIAO";9
"314430 NANUQUE";1
"314530 NOVO CRUZEIRO";2
"314570 OLIVEIRA FORTES";1
"314585 ORATORIOS";1
"314590 OURO BRANCO";1
"314600 OURO FINO";3
"314610 OURO PRETO";24
"314675 PALMOPOLIS";12
"314710 PARA DE MINAS";24
"314730 PARAISOPOLIS";4
"314810 PATROCINIO";1
"314910 PEDRALVA";23
"315015 PIEDADE DE CARATINGA";51
"315100 PIRANGUINHO";1
"315140 PITANGUI";1
"315170 POCO FUNDO";10
"315180 POCOS DE CALDAS";16
"315210 PONTE NOVA";7
"315240 POTE";1
"315250 POUSO ALEGRE";7
"315280 PRATA";2
"315580 RIO POMBA";6
"315690 SACRAMENTO";1
"315720 SANTA BARBARA";6
"315725 SANTA BARBARA DO LESTE";1
"315770 SANTA JULIANA";1
"315850 SANTANA DE PIRAPAMA";1
"315895 SANTANA DO PARAISO";4
"316040 SANTO ANTONIO DO MONTE";2
"316200 SAO GONCALO DO SAPUCAI";6
"316240 SAO JOAO DA PONTE";1
"316255 SAO JOAO DO MANHUACU";4
"316290 SAO JOAO NEPOMUCENO";1
"316292 SAO JOAQUIM DE BICAS";12
"316370 SAO LOURENCO";64
"316470 SAO SEBASTIAO DO PARAISO";5
"316500 SAO TIAGO";4
"316580 SENADOR JOSE BENTO";3
"316650 SERRA AZUL DE MINAS";1
"316690 SERRANIA";3
"316710 SERRO";2
"316740 SILVIANOPOLIS";5
"316820 TAPIRAI";1
"316890 TIROS";3
"316940 TRES PONTAS";12
"316990 UBA";2
"317010 UBERABA";23
"317020 UBERLANDIA";1
"317040 UNAI";2
"317070 VARGINHA";4
"317120 VESPASIANO";16
"Total";1050
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
