Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"310050 ACUCENA";2
"310070 AGUA COMPRIDA";1
"310150 ALEM PARAIBA";6
"310160 ALFENAS";14
"310163 ALFREDO VASCONCELOS";9
"310260 ANDRADAS";3
"310280 ANDRELANDIA";61
"310285 ANGELANDIA";1
"310330 ARACITABA";4
"310340 ARACUAI";1
"310350 ARAGUARI";11
"310390 ARAUJOS";1
"310400 ARAXA";8
"310420 ARCOS";1
"310450 ARINOS";2
"310490 BAEPENDI";1
"310560 BARBACENA";13
"310630 BELO ORIENTE";7
"310670 BETIM";49
"310710 BOA ESPERANCA";4
"310740 BOM DESPACHO";2
"310800 BOM SUCESSO";2
"310890 BRAZOPOLIS";3
"310900 BRUMADINHO";14
"310910 BUENO BRANDAO";1
"310930 BURITIS";2
"310970 CACHOEIRA DE MINAS";1
"311010 CAIANA";12
"311030 CALDAS";7
"311040 CAMACHO";1
"311050 CAMANDUCAIA";3
"311090 CAMPANHA";8
"311120 CAMPO BELO";25
"311200 CANDEIAS";1
"311210 CAPARAO";6
"311260 CAPINOPOLIS";14
"311290 CAPUTIRA";1
"311330 CARANGOLA";4
"311340 CARATINGA";3
"311370 CARLOS CHAGAS";21
"311420 CARMO DO CAJURU";6
"311430 CARMO DO PARANAIBA";5
"311455 CARNEIRINHO";2
"311510 CASSIA";18
"311530 CATAGUASES";35
"311545 CATUJI";1
"311560 CEDRO DO ABAETE";1
"311660 CLAUDIO";1
"311730 CONCEICAO DAS ALAGOAS";2
"311780 CONCEICAO DOS OUROS";1
"311820 CONQUISTA";1
"311830 CONSELHEIRO LAFAIETE";9
"311840 CONSELHEIRO PENA";1
"311850 CONSOLACAO";1
"311860 CONTAGEM";6
"311890 CORDISBURGO";1
"311940 CORONEL FABRICIANO";14
"312020 CRISTAIS";1
"312050 CRISTINA";3
"312090 CURVELO";9
"312110 DELFIM MOREIRA";1
"312125 DELTA";9
"312170 DIOGO DE VASCONCELOS";1
"312230 DIVINOPOLIS";9
"312270 DOM SILVERIO";2
"312390 ENTRE RIOS DE MINAS";2
"312410 ESMERALDAS";1
"312420 ESPERA FELIZ";1
"312430 ESPINOSA";2
"312450 ESTIVA";1
"312510 EXTREMA";1
"312595 FERVEDOURO";6
"312710 FRUTAL";8
"312770 GOVERNADOR VALADARES";24
"312800 GUANHAES";9
"312810 GUAPE";2
"312825 GUARACIAMA";1
"312830 GUARANESIA";3
"312840 GUARANI";13
"312870 GUAXUPE";2
"312920 HELIODORA";7
"312940 IBERTIOGA";3
"312980 IBIRITE";17
"313010 IGARAPE";1
"313050 ILICINEA";1
"313065 INDAIABIRA";3
"313150 IPUIUNA";16
"313170 ITABIRA";9
"313220 ITAGUARA";8
"313240 ITAJUBA";4
"313250 ITAMARANDIBA";7
"313290 ITAMOGI";1
"313310 ITANHANDU";14
"313320 ITANHOMI";1
"313330 ITAOBIM";5
"313340 ITAPAGIPE";1
"313370 ITATIAIUCU";7
"313375 ITAU DE MINAS";6
"313440 ITURAMA";2
"313460 JABOTICATUBAS";2
"313490 JACUTINGA";8
"313510 JANAUBA";9
"313560 JEQUITAI";7
"313600 JOAIMA";13
"313620 JOAO MONLEVADE";1
"313630 JOAO PINHEIRO";4
"313652 JOSE GONCALVES DE MINAS";7
"313670 JUIZ DE FORA";33
"313720 LAGOA DA PRATA";37
"313750 LAGOA FORMOSA";16
"313780 LAMBARI";4
"313867 LUISBURGO";1
"313880 LUZ";5
"313900 MACHADO";13
"313960 MANTENA";11
"313990 MARIA DA FE";2
"314000 MARIANA";19
"314040 MARMELOPOLIS";1
"314050 MARTINHO CAMPOS";1
"314070 MATEUS LEME";14
"314170 MESQUITA";1
"314190 MINDURI";3
"314230 MOEDA";6
"314280 MONTE ALEGRE DE MINAS";3
"314310 MONTE CARMELO";1
"314330 MONTES CLAROS";13
"314340 MONTE SIAO";9
"314350 MORADA NOVA DE MINAS";6
"314435 NAQUE";5
"314450 NAZARENO";14
"314480 NOVA LIMA";2
"314510 NOVA RESENDE";1
"314520 NOVA SERRANA";29
"314530 NOVO CRUZEIRO";3
"314590 OURO BRANCO";12
"314600 OURO FINO";3
"314610 OURO PRETO";51
"314670 PALMA";2
"314710 PARA DE MINAS";21
"314730 PARAISOPOLIS";1
"314800 PATOS DE MINAS";12
"314810 PATROCINIO";18
"314830 PAULA CANDIDO";39
"314870 PEDRA AZUL";3
"314980 PERDIZES";1
"314995 PERIQUITO";23
"315090 PIRANGUCU";4
"315100 PIRANGUINHO";2
"315140 PITANGUI";1
"315150 PIUMHI";5
"315180 POCOS DE CALDAS";42
"315240 POTE";13
"315250 POUSO ALEGRE";49
"315280 PRATA";2
"315380 QUELUZITO";3
"315490 RIO CASCA";3
"315560 RIO PARDO DE MINAS";1
"315580 RIO POMBA";3
"315670 SABARA";17
"315700 SALINAS";14
"315710 SALTO DA DIVISA";3
"315720 SANTA BARBARA";3
"315725 SANTA BARBARA DO LESTE";5
"315770 SANTA JULIANA";1
"315895 SANTANA DO PARAISO";1
"315920 SANTA RITA DE CALDAS";9
"315960 SANTA RITA DO SAPUCAI";7
"315980 SANTA VITORIA";1
"316020 SANTO ANTONIO DO ITAMBE";3
"316040 SANTO ANTONIO DO MONTE";6
"316190 SAO GONCALO DO RIO ABAIXO";2
"316200 SAO GONCALO DO SAPUCAI";1
"316240 SAO JOAO DA PONTE";12
"316255 SAO JOAO DO MANHUACU";2
"316292 SAO JOAQUIM DE BICAS";8
"316440 SAO SEBASTIAO DA BELA VISTA";1
"316470 SAO SEBASTIAO DO PARAISO";12
"316500 SAO TIAGO";1
"316540 SAPUCAI-MIRIM";1
"316553 SARZEDO";9
"316580 SENADOR JOSE BENTO";1
"316650 SERRA AZUL DE MINAS";1
"316740 SILVIANOPOLIS";2
"316820 TAPIRAI";1
"316910 TOLEDO";3
"316940 TRES PONTAS";11
"316990 UBA";2
"317010 UBERABA";13
"317020 UBERLANDIA";3
"317040 UNAI";12
"317065 VARGEM GRANDE DO RIO PARDO";1
"317070 VARGINHA";32
"317100 VAZANTE";1
"317120 VESPASIANO";1
"317130 VICOSA";4
"Total";1484
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
