Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"310070 AGUA COMPRIDA";3
"310150 ALEM PARAIBA";11
"310160 ALFENAS";4
"310163 ALFREDO VASCONCELOS";15
"310200 ALTEROSA";1
"310240 ALVORADA DE MINAS";1
"310260 ANDRADAS";9
"310280 ANDRELANDIA";55
"310300 ANTONIO DIAS";4
"310330 ARACITABA";1
"310340 ARACUAI";1
"310350 ARAGUARI";7
"310400 ARAXA";36
"310420 ARCOS";9
"310490 BAEPENDI";6
"310560 BARBACENA";25
"310630 BELO ORIENTE";11
"310670 BETIM";36
"310710 BOA ESPERANCA";24
"310740 BOM DESPACHO";1
"310800 BOM SUCESSO";9
"310830 BORDA DA MATA";1
"310890 BRAZOPOLIS";4
"310900 BRUMADINHO";5
"310910 BUENO BRANDAO";1
"310930 BURITIS";10
"310970 CACHOEIRA DE MINAS";1
"311030 CALDAS";6
"311050 CAMANDUCAIA";1
"311090 CAMPANHA";2
"311110 CAMPINA VERDE";3
"311120 CAMPO BELO";50
"311140 CAMPO FLORIDO";1
"311200 CANDEIAS";1
"311210 CAPARAO";13
"311230 CAPELINHA";1
"311290 CAPUTIRA";16
"311330 CARANGOLA";8
"311340 CARATINGA";37
"311370 CARLOS CHAGAS";1
"311420 CARMO DO CAJURU";8
"311430 CARMO DO PARANAIBA";3
"311450 CARMOPOLIS DE MINAS";1
"311455 CARNEIRINHO";3
"311510 CASSIA";28
"311530 CATAGUASES";62
"311545 CATUJI";8
"311680 COLUNA";7
"311710 CONCEICAO DA APARECIDA";7
"311730 CONCEICAO DAS ALAGOAS";6
"311780 CONCEICAO DOS OUROS";3
"311820 CONQUISTA";5
"311830 CONSELHEIRO LAFAIETE";7
"311860 CONTAGEM";2
"311940 CORONEL FABRICIANO";22
"311995 CORREGO FUNDO";4
"312020 CRISTAIS";1
"312090 CURVELO";7
"312125 DELTA";5
"312150 DESTERRO DO MELO";2
"312200 DIVINO";1
"312230 DIVINOPOLIS";3
"312245 DIVISOPOLIS";16
"312340 DORESOPOLIS";1
"312390 ENTRE RIOS DE MINAS";1
"312410 ESMERALDAS";8
"312420 ESPERA FELIZ";5
"312430 ESPINOSA";2
"312510 EXTREMA";8
"312595 FERVEDOURO";7
"312650 FRANCISCO BADARO";1
"312710 FRUTAL";5
"312770 GOVERNADOR VALADARES";32
"312800 GUANHAES";11
"312810 GUAPE";1
"312825 GUARACIAMA";3
"312830 GUARANESIA";2
"312840 GUARANI";6
"312870 GUAXUPE";3
"312920 HELIODORA";41
"312940 IBERTIOGA";2
"312980 IBIRITE";13
"312990 IBITIURA DE MINAS";1
"313010 IGARAPE";9
"313050 ILICINEA";6
"313150 IPUIUNA";9
"313170 ITABIRA";24
"313220 ITAGUARA";4
"313240 ITAJUBA";15
"313260 ITAMARATI DE MINAS";3
"313270 ITAMBACURI";5
"313290 ITAMOGI";10
