Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"310150 ALEM PARAIBA";51
"310160 ALFENAS";23
"310163 ALFREDO VASCONCELOS";13
"310200 ALTEROSA";1
"310260 ANDRADAS";3
"310280 ANDRELANDIA";55
"310300 ANTONIO DIAS";1
"310330 ARACITABA";1
"310350 ARAGUARI";4
"310400 ARAXA";30
"310420 ARCOS";2
"310490 BAEPENDI";1
"310560 BARBACENA";1
"310630 BELO ORIENTE";8
"310670 BETIM";40
"310700 BIQUINHAS";1
"310710 BOA ESPERANCA";11
"310740 BOM DESPACHO";10
"310800 BOM SUCESSO";4
"310830 BORDA DA MATA";17
"310890 BRAZOPOLIS";4
"310900 BRUMADINHO";1
"310930 BURITIS";3
"311030 CALDAS";2
"311060 CAMBUI";1
"311090 CAMPANHA";2
"311110 CAMPINA VERDE";4
"311120 CAMPO BELO";19
"311140 CAMPO FLORIDO";2
"311200 CANDEIAS";5
"311210 CAPARAO";1
"311260 CAPINOPOLIS";20
"311290 CAPUTIRA";54
"311330 CARANGOLA";6
"311340 CARATINGA";21
"311350 CARBONITA";1
"311370 CARLOS CHAGAS";12
"311380 CARMESIA";1
"311420 CARMO DO CAJURU";2
"311430 CARMO DO PARANAIBA";1
"311510 CASSIA";6
"311530 CATAGUASES";99
"311545 CATUJI";4
"311660 CLAUDIO";1
"311710 CONCEICAO DA APARECIDA";6
"311730 CONCEICAO DAS ALAGOAS";2
"311780 CONCEICAO DOS OUROS";1
"311820 CONQUISTA";2
"311830 CONSELHEIRO LAFAIETE";3
"311860 CONTAGEM";3
"311940 CORONEL FABRICIANO";20
"311995 CORREGO FUNDO";1
"312050 CRISTINA";3
"312080 CRUZILIA";1
"312090 CURVELO";13
"312110 DELFIM MOREIRA";7
"312125 DELTA";1
"312230 DIVINOPOLIS";2
"312245 DIVISOPOLIS";2
"312390 ENTRE RIOS DE MINAS";8
"312420 ESPERA FELIZ";4
"312430 ESPINOSA";1
"312450 ESTIVA";2
"312510 EXTREMA";25
"312595 FERVEDOURO";9
"312630 FORTALEZA DE MINAS";1
"312650 FRANCISCO BADARO";11
"312710 FRUTAL";5
"312770 GOVERNADOR VALADARES";35
"312800 GUANHAES";3
"312810 GUAPE";2
"312830 GUARANESIA";6
"312840 GUARANI";1
"312870 GUAXUPE";2
"312910 GURINHATA";5
"312920 HELIODORA";11
"312940 IBERTIOGA";4
"312980 IBIRITE";7
"313010 IGARAPE";1
"313050 ILICINEA";2
"313150 IPUIUNA";3
"313170 ITABIRA";9
"313220 ITAGUARA";8
"313240 ITAJUBA";11
"313250 ITAMARANDIBA";6
"313290 ITAMOGI";4
"313320 ITANHOMI";1
"313330 ITAOBIM";3
"313340 ITAPAGIPE";3
"313370 ITATIAIUCU";1
"313375 ITAU DE MINAS";1
"313380 ITAUNA";2
"313440 ITURAMA";1
"313460 JABOTICATUBAS";4
"313490 JACUTINGA";18
"313510 JANAUBA";1
"313560 JEQUITAI";5
"313600 JOAIMA";4
"313630 JOAO PINHEIRO";15
"313660 NOVA UNIAO";10
"313665 JUATUBA";18
"313670 JUIZ DE FORA";38
"313720 LAGOA DA PRATA";7
"313750 LAGOA FORMOSA";9
"313780 LAMBARI";5
"313880 LUZ";1
"313900 MACHADO";7
"313960 MANTENA";2
"313990 MARIA DA FE";5
"314000 MARIANA";1
"314050 MARTINHO CAMPOS";1
"314070 MATEUS LEME";8
"314130 MEDEIROS";2
"314170 MESQUITA";1
"314230 MOEDA";3
"314310 MONTE CARMELO";1
"314320 MONTE SANTO DE MINAS";1
"314330 MONTES CLAROS";12
"314340 MONTE SIAO";5
"314350 MORADA NOVA DE MINAS";2
"314435 NAQUE";3
"314440 NATERCIA";3
"314480 NOVA LIMA";2
"314520 NOVA SERRANA";2
"314530 NOVO CRUZEIRO";1
"314590 OURO BRANCO";10
"314600 OURO FINO";3
"314610 OURO PRETO";56
"314710 PARA DE MINAS";21
"314730 PARAISOPOLIS";3
"314800 PATOS DE MINAS";8
"314810 PATROCINIO";3
"314830 PAULA CANDIDO";14
"314870 PEDRA AZUL";1
"314910 PEDRALVA";1
"314940 PEDRO TEIXEIRA";1
"314980 PERDIZES";1
"314995 PERIQUITO";18
"315015 PIEDADE DE CARATINGA";3
"315090 PIRANGUCU";5
"315100 PIRANGUINHO";8
"315140 PITANGUI";2
"315150 PIUMHI";1
"315170 POCO FUNDO";6
"315180 POCOS DE CALDAS";32
"315210 PONTE NOVA";2
