Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"310050 ACUCENA";1
"310150 ALEM PARAIBA";26
"310160 ALFENAS";10
"310163 ALFREDO VASCONCELOS";9
"310260 ANDRADAS";14
"310280 ANDRELANDIA";19
"310285 ANGELANDIA";1
"310350 ARAGUARI";14
"310400 ARAXA";30
"310445 ARICANDUVA";1
"310490 BAEPENDI";11
"310630 BELO ORIENTE";11
"310670 BETIM";41
"310680 BIAS FORTES";14
"310710 BOA ESPERANCA";7
"310740 BOM DESPACHO";11
"310800 BOM SUCESSO";9
"310830 BORDA DA MATA";3
"310890 BRAZOPOLIS";3
"310900 BRUMADINHO";6
"310930 BURITIS";9
"310970 CACHOEIRA DE MINAS";1
"310980 CACHOEIRA DOURADA";16
"311030 CALDAS";3
"311050 CAMANDUCAIA";3
"311060 CAMBUI";2
"311090 CAMPANHA";12
"311120 CAMPO BELO";25
"311140 CAMPO FLORIDO";1
"311200 CANDEIAS";1
"311260 CAPINOPOLIS";12
"311280 CAPITOLIO";20
"311290 CAPUTIRA";23
"311300 CARAI";1
"311330 CARANGOLA";1
"311340 CARATINGA";17
"311350 CARBONITA";2
"311370 CARLOS CHAGAS";6
"311420 CARMO DO CAJURU";6
"311430 CARMO DO PARANAIBA";3
"311450 CARMOPOLIS DE MINAS";5
"311455 CARNEIRINHO";2
"311510 CASSIA";3
"311530 CATAGUASES";56
"311545 CATUJI";9
"311560 CEDRO DO ABAETE";4
"311660 CLAUDIO";1
"311710 CONCEICAO DA APARECIDA";3
"311730 CONCEICAO DAS ALAGOAS";1
"311830 CONSELHEIRO LAFAIETE";7
"311850 CONSOLACAO";1
"311860 CONTAGEM";5
"311940 CORONEL FABRICIANO";20
"311995 CORREGO FUNDO";1
"312050 CRISTINA";1
"312080 CRUZILIA";2
"312090 CURVELO";8
"312230 DIVINOPOLIS";1
"312245 DIVISOPOLIS";1
"312410 ESMERALDAS";11
"312420 ESPERA FELIZ";23
"312510 EXTREMA";11
"312595 FERVEDOURO";12
"312650 FRANCISCO BADARO";3
"312770 GOVERNADOR VALADARES";43
"312800 GUANHAES";4
"312825 GUARACIAMA";11
"312830 GUARANESIA";9
"312840 GUARANI";9
"312870 GUAXUPE";1
"312910 GURINHATA";5
"312920 HELIODORA";6
"312940 IBERTIOGA";2
"312980 IBIRITE";13
"313050 ILICINEA";1
"313065 INDAIABIRA";1
"313150 IPUIUNA";2
"313170 ITABIRA";6
"313240 ITAJUBA";8
"313290 ITAMOGI";4
"313330 ITAOBIM";2
"313340 ITAPAGIPE";5
"313370 ITATIAIUCU";3
"313375 ITAU DE MINAS";2
"313440 ITURAMA";6
"313460 JABOTICATUBAS";2
"313490 JACUTINGA";1
"313510 JANAUBA";5
"313530 JAPARAIBA";1
"313560 JEQUITAI";2
"313600 JOAIMA";1
"313630 JOAO PINHEIRO";10
"313660 NOVA UNIAO";26
"313665 JUATUBA";50
"313670 JUIZ DE FORA";39
"313710 LAGAMAR";1
"313720 LAGOA DA PRATA";12
"313750 LAGOA FORMOSA";14
"313780 LAMBARI";1
"313867 LUISBURGO";1
"313880 LUZ";3
"313900 MACHADO";14
"313960 MANTENA";7
"313990 MARIA DA FE";13
"314000 MARIANA";1
"314040 MARMELOPOLIS";1
"314060 MATERLANDIA";1
"314070 MATEUS LEME";15
"314080 MATIAS BARBOSA";1
"314230 MOEDA";2
"314310 MONTE CARMELO";1
"314320 MONTE SANTO DE MINAS";13
"314330 MONTES CLAROS";1
"314340 MONTE SIAO";1
"314350 MORADA NOVA DE MINAS";6
"314435 NAQUE";6
"314440 NATERCIA";6
"314480 NOVA LIMA";5
"314530 NOVO CRUZEIRO";4
"314590 OURO BRANCO";2
"314600 OURO FINO";3
"314610 OURO PRETO";55
"314710 PARA DE MINAS";18
"314730 PARAISOPOLIS";1
"314800 PATOS DE MINAS";21
"314830 PAULA CANDIDO";24
"314940 PEDRO TEIXEIRA";9
"314995 PERIQUITO";15
"315015 PIEDADE DE CARATINGA";2
"315090 PIRANGUCU";6
"315100 PIRANGUINHO";21
"315140 PITANGUI";6
"315170 POCO FUNDO";5
"315180 POCOS DE CALDAS";33
"315210 PONTE NOVA";3
"315250 POUSO ALEGRE";29
"315280 PRATA";1
"315300 PRATINHA";1
"315540 RIO NOVO";1
"315570 RIO PIRACICABA";19
"315580 RIO POMBA";2
"315700 SALINAS";20
"315710 SALTO DA DIVISA";4
"315725 SANTA BARBARA DO LESTE";2
"315895 SANTANA DO PARAISO";2
"315920 SANTA RITA DE CALDAS";3
"315960 SANTA RITA DO SAPUCAI";1
"316000 SANTO ANTONIO DO AVENTUREIRO";6
"316040 SANTO ANTONIO DO MONTE";3
"316200 SAO GONCALO DO SAPUCAI";6
"316240 SAO JOAO DA PONTE";11
"316250 SAO JOAO DEL REI";12
"316255 SAO JOAO DO MANHUACU";38
"316290 SAO JOAO NEPOMUCENO";2
"316292 SAO JOAQUIM DE BICAS";27
"316300 SAO JOSE DA SAFIRA";10
"316320 SAO JOSE DO ALEGRE";1
"316440 SAO SEBASTIAO DA BELA VISTA";1
"316470 SAO SEBASTIAO DO PARAISO";21
"316500 SAO TIAGO";19
"316540 SAPUCAI-MIRIM";1
"316610 SENHORA DO PORTO";5
"316620 SENHORA DOS REMEDIOS";1
"316710 SERRO";5
"316820 TAPIRAI";1
"316860 TEOFILO OTONI";1
"316890 TIROS";6
"316940 TRES PONTAS";8
"316990 UBA";7
"317010 UBERABA";48
"317020 UBERLANDIA";5
"317040 UNAI";4
"317070 VARGINHA";72
"317120 VESPASIANO";3
"Total";1639
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
