Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"310020 ABAETE";1
"310150 ALEM PARAIBA";24
"310160 ALFENAS";18
"310260 ANDRADAS";4
"310280 ANDRELANDIA";2
"310285 ANGELANDIA";93
"310340 ARACUAI";1
"310350 ARAGUARI";5
"310390 ARAUJOS";1
"310400 ARAXA";15
"310445 ARICANDUVA";1
"310520 BANDEIRA";1
"310630 BELO ORIENTE";22
"310670 BETIM";26
"310680 BIAS FORTES";9
"310710 BOA ESPERANCA";4
"310740 BOM DESPACHO";169
"310800 BOM SUCESSO";2
"310830 BORDA DA MATA";1
"310890 BRAZOPOLIS";1
"310900 BRUMADINHO";7
"310910 BUENO BRANDAO";1
"310930 BURITIS";4
"310980 CACHOEIRA DOURADA";1
"311020 CAJURI";2
"311030 CALDAS";3
"311060 CAMBUI";4
"311090 CAMPANHA";7
"311110 CAMPINA VERDE";1
"311120 CAMPO BELO";20
"311140 CAMPO FLORIDO";5
"311260 CAPINOPOLIS";2
"311280 CAPITOLIO";18
"311300 CARAI";12
"311330 CARANGOLA";2
"311340 CARATINGA";15
"311350 CARBONITA";13
"311370 CARLOS CHAGAS";31
"311420 CARMO DO CAJURU";2
"311430 CARMO DO PARANAIBA";1
"311455 CARNEIRINHO";6
"311510 CASSIA";3
"311530 CATAGUASES";45
"311545 CATUJI";6
"311560 CEDRO DO ABAETE";1
"311660 CLAUDIO";6
"311680 COLUNA";5
"311710 CONCEICAO DA APARECIDA";4
"311783 CONEGO MARINHO";105
"311830 CONSELHEIRO LAFAIETE";5
"311860 CONTAGEM";2
"311890 CORDISBURGO";5
"311940 CORONEL FABRICIANO";42
"311990 CORREGO DO BOM JESUS";7
"312050 CRISTINA";2
"312080 CRUZILIA";1
"312090 CURVELO";9
"312110 DELFIM MOREIRA";3
"312410 ESMERALDAS";7
"312420 ESPERA FELIZ";92
"312450 ESTIVA";2
"312510 EXTREMA";12
"312595 FERVEDOURO";14
"312650 FRANCISCO BADARO";3
"312695 FREI LAGONEGRO";3
"312710 FRUTAL";3
"312770 GOVERNADOR VALADARES";32
"312800 GUANHAES";10
"312810 GUAPE";3
"312830 GUARANESIA";10
"312840 GUARANI";1
"312870 GUAXUPE";1
"312910 GURINHATA";24
"312920 HELIODORA";28
"312940 IBERTIOGA";1
"312980 IBIRITE";20
"312990 IBITIURA DE MINAS";1
"313050 ILICINEA";1
"313090 INHAPIM";1
"313150 IPUIUNA";5
"313170 ITABIRA";2
"313220 ITAGUARA";1
"313240 ITAJUBA";11
"313290 ITAMOGI";1
"313320 ITANHOMI";4
"313330 ITAOBIM";4
"313340 ITAPAGIPE";3
"313360 ITAPEVA";3
"313370 ITATIAIUCU";1
"313375 ITAU DE MINAS";4
"313380 ITAUNA";2
"313420 ITUIUTABA";8
"313440 ITURAMA";6
"313460 JABOTICATUBAS";1
"313480 JACUI";4
"313510 JANAUBA";16
"313530 JAPARAIBA";3
"313600 JOAIMA";1
"313630 JOAO PINHEIRO";5
"313652 JOSE GONCALVES DE MINAS";1
"313660 NOVA UNIAO";1
"313665 JUATUBA";15
"313670 JUIZ DE FORA";39
"313720 LAGOA DA PRATA";4
"313750 LAGOA FORMOSA";14
"313780 LAMBARI";1
"313880 LUZ";1
"313900 MACHADO";12
"313960 MANTENA";1
"313990 MARIA DA FE";4
"314000 MARIANA";5
"314030 MARLIERIA";1
"314060 MATERLANDIA";5
"314085 MATIAS CARDOSO";1
"314170 MESQUITA";2
"314190 MINDURI";2
"314310 MONTE CARMELO";1
"314320 MONTE SANTO DE MINAS";24
"314330 MONTES CLAROS";12
"314340 MONTE SIAO";11
"314435 NAQUE";8
"314440 NATERCIA";17
"314520 NOVA SERRANA";4
"314530 NOVO CRUZEIRO";3
"314585 ORATORIOS";1
"314590 OURO BRANCO";8
"314600 OURO FINO";3
"314610 OURO PRETO";38
"314640 PAINEIRAS";2
"314700 PARACATU";3
"314710 PARA DE MINAS";8
"314730 PARAISOPOLIS";1
"314800 PATOS DE MINAS";57
"314830 PAULA CANDIDO";26
"314980 PERDIZES";2
"314995 PERIQUITO";1
"315015 PIEDADE DE CARATINGA";6
"315090 PIRANGUCU";4
"315100 PIRANGUINHO";13
"315110 PIRAPETINGA";8
"315140 PITANGUI";1
"315170 POCO FUNDO";17
"315180 POCOS DE CALDAS";21
"315210 PONTE NOVA";1
"315240 POTE";1
"315250 POUSO ALEGRE";37
"315300 PRATINHA";10
"315380 QUELUZITO";8
"315560 RIO PARDO DE MINAS";1
"315570 RIO PIRACICABA";5
