Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"310070 AGUA COMPRIDA";1
"310150 ALEM PARAIBA";41
"310160 ALFENAS";56
"310260 ANDRADAS";3
"310280 ANDRELANDIA";5
"310285 ANGELANDIA";5
"310340 ARACUAI";2
"310350 ARAGUARI";19
"310390 ARAUJOS";1
"310400 ARAXA";17
"310450 ARINOS";1
"310490 BAEPENDI";1
"310630 BELO ORIENTE";1
"310670 BETIM";34
"310680 BIAS FORTES";16
"310700 BIQUINHAS";2
"310710 BOA ESPERANCA";12
"310740 BOM DESPACHO";221
"310800 BOM SUCESSO";15
"310830 BORDA DA MATA";1
"310890 BRAZOPOLIS";39
"310900 BRUMADINHO";23
"310930 BURITIS";7
"310980 CACHOEIRA DOURADA";2
"311020 CAJURI";1
"311030 CALDAS";1
"311050 CAMANDUCAIA";3
"311090 CAMPANHA";4
"311110 CAMPINA VERDE";2
"311120 CAMPO BELO";5
"311140 CAMPO FLORIDO";2
"311200 CANDEIAS";1
"311250 CAPIM BRANCO";1
"311260 CAPINOPOLIS";5
"311280 CAPITOLIO";12
"311300 CARAI";6
"311340 CARATINGA";6
"311370 CARLOS CHAGAS";47
"311430 CARMO DO PARANAIBA";2
"311455 CARNEIRINHO";1
"311530 CATAGUASES";66
"311545 CATUJI";5
"311560 CEDRO DO ABAETE";1
"311660 CLAUDIO";2
"311680 COLUNA";2
"311710 CONCEICAO DA APARECIDA";2
"311780 CONCEICAO DOS OUROS";2
"311783 CONEGO MARINHO";28
"311830 CONSELHEIRO LAFAIETE";14
"311850 CONSOLACAO";1
"311890 CORDISBURGO";3
"311940 CORONEL FABRICIANO";25
"312050 CRISTINA";2
"312080 CRUZILIA";3
"312090 CURVELO";16
"312110 DELFIM MOREIRA";5
"312200 DIVINO";2
"312230 DIVINOPOLIS";3
"312390 ENTRE RIOS DE MINAS";2
"312410 ESMERALDAS";129
"312420 ESPERA FELIZ";159
"312430 ESPINOSA";1
"312450 ESTIVA";4
"312510 EXTREMA";17
"312595 FERVEDOURO";5
"312630 FORTALEZA DE MINAS";1
"312640 FORTUNA DE MINAS";8
"312695 FREI LAGONEGRO";3
"312710 FRUTAL";1
"312770 GOVERNADOR VALADARES";49
"312790 GRUPIARA";1
"312800 GUANHAES";10
"312810 GUAPE";3
"312830 GUARANESIA";2
"312840 GUARANI";1
"312870 GUAXUPE";1
"312920 HELIODORA";5
"312970 IBIRACI";30
"312980 IBIRITE";8
"312990 IBITIURA DE MINAS";1
"313090 INHAPIM";5
"313150 IPUIUNA";5
"313170 ITABIRA";3
"313220 ITAGUARA";3
"313240 ITAJUBA";7
"313320 ITANHOMI";1
"313330 ITAOBIM";4
"313340 ITAPAGIPE";5
"313360 ITAPEVA";9
"313375 ITAU DE MINAS";3
"313420 ITUIUTABA";31
"313440 ITURAMA";5
"313480 JACUI";4
"313490 JACUTINGA";2
"313510 JANAUBA";2
"313630 JOAO PINHEIRO";7
"313660 NOVA UNIAO";1
"313665 JUATUBA";45
"313670 JUIZ DE FORA";52
"313720 LAGOA DA PRATA";18
"313750 LAGOA FORMOSA";6
"313780 LAMBARI";2
"313900 MACHADO";9
"313960 MANTENA";1
"313990 MARIA DA FE";14
"314000 MARIANA";10
"314030 MARLIERIA";2
"314070 MATEUS LEME";8
"314170 MESQUITA";3
"314190 MINDURI";1
"314230 MOEDA";1
"314310 MONTE CARMELO";2
"314320 MONTE SANTO DE MINAS";25
"314330 MONTES CLAROS";6
"314340 MONTE SIAO";3
"314350 MORADA NOVA DE MINAS";10
"314435 NAQUE";101
"314440 NATERCIA";2
"314470 NOVA ERA";11
"314520 NOVA SERRANA";1
"314530 NOVO CRUZEIRO";53
"314590 OURO BRANCO";17
"314600 OURO FINO";12
"314610 OURO PRETO";72
"314640 PAINEIRAS";7
"314700 PARACATU";1
"314710 PARA DE MINAS";2
"314730 PARAISOPOLIS";3
"314800 PATOS DE MINAS";20
"314810 PATROCINIO";5
"314820 PATROCINIO DO MURIAE";2
"314830 PAULA CANDIDO";38
"314910 PEDRALVA";1
"314940 PEDRO TEIXEIRA";1
"314980 PERDIZES";2
"315015 PIEDADE DE CARATINGA";4
"315090 PIRANGUCU";1
"315100 PIRANGUINHO";4
"315110 PIRAPETINGA";6
"315140 PITANGUI";3
"315170 POCO FUNDO";11
"315180 POCOS DE CALDAS";37
"315250 POUSO ALEGRE";27
"315300 PRATINHA";1
"315540 RIO NOVO";23
"315560 RIO PARDO DE MINAS";2
"315570 RIO PIRACICABA";4
"315580 RIO POMBA";3
"315720 SANTA BARBARA";1
"315725 SANTA BARBARA DO LESTE";4
"315895 SANTANA DO PARAISO";8
"315920 SANTA RITA DE CALDAS";1
"315990 SANTO ANTONIO DO AMPARO";1
"316000 SANTO ANTONIO DO AVENTUREIRO";6
"316040 SANTO ANTONIO DO MONTE";8
"316095 SAO DOMINGOS DAS DORES";12
"316190 SAO GONCALO DO RIO ABAIXO";1
"316200 SAO GONCALO DO SAPUCAI";9
"316210 SAO GOTARDO";13
"316240 SAO JOAO DA PONTE";3
"316250 SAO JOAO DEL REI";18
"316290 SAO JOAO NEPOMUCENO";2
"316292 SAO JOAQUIM DE BICAS";5
"316300 SAO JOSE DA SAFIRA";3
"316370 SAO LOURENCO";6
"316470 SAO SEBASTIAO DO PARAISO";16
"316500 SAO TIAGO";19
"316540 SAPUCAI-MIRIM";2
"316557 SENADOR AMARAL";3
"316580 SENADOR JOSE BENTO";2
"316650 SERRA AZUL DE MINAS";2
"316690 SERRANIA";2
"316710 SERRO";2
"316940 TRES PONTAS";8
"316990 UBA";7
"317010 UBERABA";48
"317020 UBERLANDIA";8
"317040 UNAI";1
"317047 URUANA DE MINAS";6
"317065 VARGEM GRANDE DO RIO PARDO";9
"317070 VARGINHA";28
"317100 VAZANTE";44
"317120 VESPASIANO";4
"Total";2351
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
