Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"310050 ACUCENA";1
"310070 AGUA COMPRIDA";1
"310150 ALEM PARAIBA";65
"310160 ALFENAS";30
"310260 ANDRADAS";18
"310280 ANDRELANDIA";1
"310285 ANGELANDIA";2
"310340 ARACUAI";2
"310350 ARAGUARI";13
"310390 ARAUJOS";1
"310400 ARAXA";17
"310420 ARCOS";1
"310450 ARINOS";6
"310490 BAEPENDI";3
"310560 BARBACENA";1
"310630 BELO ORIENTE";12
"310660 BERTOPOLIS";9
"310670 BETIM";35
"310680 BIAS FORTES";4
"310700 BIQUINHAS";11
"310710 BOA ESPERANCA";10
"310740 BOM DESPACHO";38
"310800 BOM SUCESSO";2
"310890 BRAZOPOLIS";9
"310900 BRUMADINHO";4
"310930 BURITIS";21
"311030 CALDAS";3
"311050 CAMANDUCAIA";2
"311060 CAMBUI";227
"311090 CAMPANHA";11
"311120 CAMPO BELO";2
"311250 CAPIM BRANCO";10
"311260 CAPINOPOLIS";12
"311300 CARAI";2
"311340 CARATINGA";5
"311370 CARLOS CHAGAS";8
"311380 CARMESIA";1
"311420 CARMO DO CAJURU";10
"311430 CARMO DO PARANAIBA";3
"311455 CARNEIRINHO";1
"311510 CASSIA";1
"311530 CATAGUASES";75
"311545 CATUJI";7
"311550 CAXAMBU";1
"311660 CLAUDIO";2
"311680 COLUNA";3
"311710 CONCEICAO DA APARECIDA";1
"311780 CONCEICAO DOS OUROS";1
"311783 CONEGO MARINHO";11
"311830 CONSELHEIRO LAFAIETE";21
"311860 CONTAGEM";5
"311890 CORDISBURGO";7
"311940 CORONEL FABRICIANO";28
"311995 CORREGO FUNDO";1
"312050 CRISTINA";3
"312090 CURVELO";31
"312110 DELFIM MOREIRA";19
"312200 DIVINO";2
"312230 DIVINOPOLIS";2
"312350 DOURADOQUARA";12
"312390 ENTRE RIOS DE MINAS";3
"312410 ESMERALDAS";61
"312420 ESPERA FELIZ";4
"312430 ESPINOSA";2
"312510 EXTREMA";14
"312595 FERVEDOURO";2
"312630 FORTALEZA DE MINAS";1
"312640 FORTUNA DE MINAS";25
"312695 FREI LAGONEGRO";5
"312710 FRUTAL";10
"312770 GOVERNADOR VALADARES";40
"312790 GRUPIARA";1
"312800 GUANHAES";12
"312810 GUAPE";1
"312830 GUARANESIA";4
"312870 GUAXUPE";5
"312910 GURINHATA";19
"312920 HELIODORA";1
"312970 IBIRACI";6
"312980 IBIRITE";9
"312990 IBITIURA DE MINAS";1
"313090 INHAPIM";80
"313150 IPUIUNA";8
"313170 ITABIRA";3
"313240 ITAJUBA";19
"313270 ITAMBACURI";2
"313310 ITANHANDU";1
"313330 ITAOBIM";4
"313340 ITAPAGIPE";1
"313375 ITAU DE MINAS";1
"313420 ITUIUTABA";23
"313440 ITURAMA";10
"313460 JABOTICATUBAS";1
