Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"310050 ACUCENA";1
"310070 AGUA COMPRIDA";1
"310150 ALEM PARAIBA";129
"310160 ALFENAS";24
"310260 ANDRADAS";9
"310285 ANGELANDIA";1
"310340 ARACUAI";1
"310350 ARAGUARI";10
"310375 ARAPORA";3
"310400 ARAXA";12
"310420 ARCOS";2
"310450 ARINOS";8
"310560 BARBACENA";1
"310630 BELO ORIENTE";7
"310660 BERTOPOLIS";3
"310670 BETIM";23
"310680 BIAS FORTES";12
"310710 BOA ESPERANCA";9
"310740 BOM DESPACHO";52
"310800 BOM SUCESSO";1
"310825 BONITO DE MINAS";1
"310830 BORDA DA MATA";4
"310890 BRAZOPOLIS";5
"310900 BRUMADINHO";4
"310910 BUENO BRANDAO";2
"310930 BURITIS";4
"310960 CACHOEIRA DA PRATA";18
"310970 CACHOEIRA DE MINAS";2
"311050 CAMANDUCAIA";3
"311060 CAMBUI";5
"311090 CAMPANHA";6
"311120 CAMPO BELO";4
"311200 CANDEIAS";1
"311250 CAPIM BRANCO";17
"311260 CAPINOPOLIS";19
"311340 CARATINGA";22
"311350 CARBONITA";20
"311370 CARLOS CHAGAS";1
"311420 CARMO DO CAJURU";4
"311430 CARMO DO PARANAIBA";3
"311455 CARNEIRINHO";2
"311510 CASSIA";1
"311530 CATAGUASES";28
"311560 CEDRO DO ABAETE";3
"311660 CLAUDIO";2
"311680 COLUNA";1
"311710 CONCEICAO DA APARECIDA";2
"311783 CONEGO MARINHO";7
"311820 CONQUISTA";1
"311830 CONSELHEIRO LAFAIETE";26
"311860 CONTAGEM";2
"311890 CORDISBURGO";13
"311940 CORONEL FABRICIANO";10
"312050 CRISTINA";2
"312080 CRUZILIA";1
"312090 CURVELO";17
"312110 DELFIM MOREIRA";2
"312150 DESTERRO DO MELO";1
"312230 DIVINOPOLIS";2
"312245 DIVISOPOLIS";1
"312350 DOURADOQUARA";7
"312390 ENTRE RIOS DE MINAS";1
"312410 ESMERALDAS";13
"312420 ESPERA FELIZ";1
"312430 ESPINOSA";4
"312470 ESTRELA DO INDAIA";18
"312510 EXTREMA";20
"312580 FERNANDES TOURINHO";1
"312595 FERVEDOURO";2
"312630 FORTALEZA DE MINAS";1
"312695 FREI LAGONEGRO";1
"312740 GONCALVES";1
"312770 GOVERNADOR VALADARES";27
"312800 GUANHAES";11
"312810 GUAPE";2
"312830 GUARANESIA";3
"312840 GUARANI";2
"312870 GUAXUPE";12
"312910 GURINHATA";13
"312920 HELIODORA";3
"312970 IBIRACI";8
"312980 IBIRITE";2
"313050 ILICINEA";11
"313110 INIMUTABA";16
"313150 IPUIUNA";3
"313170 ITABIRA";4
"313240 ITAJUBA";22
"313260 ITAMARATI DE MINAS";1
"313290 ITAMOGI";1
"313320 ITANHOMI";1
"313330 ITAOBIM";15
