Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pará
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"150010 ABAETETUBA";14
"150013 ABEL FIGUEIREDO";1
"150020 ACARA";1
"150034 AGUA AZUL DO NORTE";1
"150040 ALENQUER";4
"150050 ALMEIRIM";3
"150060 ALTAMIRA";8
"150070 ANAJAS";2
"150080 ANANINDEUA";16
"150090 AUGUSTO CORREA";2
"150100 AVEIRO";1
"150120 BAIAO";3
"150125 BANNACH";1
"150130 BARCARENA";12
"150140 BELEM";16
"150150 BENEVIDES";3
"150170 BRAGANCA";10
"150172 BRASIL NOVO";5
"150180 BREVES";4
"150190 BUJARU";1
"150200 CACHOEIRA DO ARARI";5
"150210 CAMETA";6
"150215 CANAA DOS CARAJAS";4
"150220 CAPANEMA";3
"150230 CAPITAO POCO";4
"150240 CASTANHAL";8
"150270 CONCEICAO DO ARAGUAIA";1
"150275 CONCORDIA DO PARA";9
"150285 CURUA";1
"150290 CURUCA";7
"150293 DOM ELISEU";7
"150304 FLORESTA DO ARAGUAIA";2
"150307 GARRAFAO DO NORTE";5
"150309 GOIANESIA DO PARA";2
"150320 IGARAPE-ACU";1
"150330 IGARAPE-MIRI";4
"150340 INHANGAPI";2
"150350 IRITUIA";6
"150360 ITAITUBA";12
"150370 ITUPIRANGA";4
"150380 JACUNDA";3
"150390 JURUTI";7
"150420 MARABA";25
"150430 MARACANA";2
"150442 MARITUBA";6
"150445 MEDICILANDIA";4
"150460 MOCAJUBA";10
"150470 MOJU";1
"150480 MONTE ALEGRE";4
"150495 NOVA ESPERANCA DO PIRIA";4
"150503 NOVO PROGRESSO";1
"150506 NOVO REPARTIMENTO";2
"150510 OBIDOS";10
"150520 OEIRAS DO PARA";3
"150543 OURILANDIA DO NORTE";2
"150548 PACAJA";2
"150550 PARAGOMINAS";12
"150553 PARAUAPEBAS";12
"150555 PAU D'ARCO";1
"150560 PEIXE-BOI";4
"150563 PICARRA";1
"150590 PORTO DE MOZ";2
"150600 PRAINHA";4
"150613 REDENCAO";10
"150616 RIO MARIA";3
"150618 RONDON DO PARA";1
"150619 RUROPOLIS";2
"150620 SALINOPOLIS";1
"150650 SANTA IZABEL DO PARA";2
"150658 SANTA MARIA DAS BARREIRAS";2
"150660 SANTA MARIA DO PARA";1
"150670 SANTANA DO ARAGUAIA";13
"150680 SANTAREM";17
"150710 SAO CAETANO DE ODIVELAS";1
"150715 SAO DOMINGOS DO ARAGUAIA";2
"150720 SAO DOMINGOS DO CAPIM";2
"150730 SAO FELIX DO XINGU";4
"150740 SAO FRANCISCO DO PARA";1
"150746 SAO JOAO DA PONTA";1
"150747 SAO JOAO DE PIRABAS";6
"150750 SAO JOAO DO ARAGUAIA";1
"150790 SOURE";1
"150795 TAILANDIA";35
"150796 TERRA ALTA";1
"150800 TOME-ACU";9
"150803 TRACUATEUA";5
"150808 TUCUMA";6
"150810 TUCURUI";14
"150812 ULIANOPOLIS";1
"150815 URUARA";1
"150835 VITORIA DO XINGU";1
"Total";467
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
