Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pará
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"150010 ABAETETUBA";2
"150034 AGUA AZUL DO NORTE";4
"150040 ALENQUER";3
"150050 ALMEIRIM";1
"150060 ALTAMIRA";6
"150080 ANANINDEUA";28
"150090 AUGUSTO CORREA";2
"150095 AURORA DO PARA";4
"150120 BAIAO";3
"150130 BARCARENA";12
"150140 BELEM";25
"150150 BENEVIDES";4
"150157 BOM JESUS DO TOCANTINS";1
"150170 BRAGANCA";1
"150210 CAMETA";2
"150215 CANAA DOS CARAJAS";1
"150220 CAPANEMA";4
"150230 CAPITAO POCO";5
"150240 CASTANHAL";27
"150270 CONCEICAO DO ARAGUAIA";140
"150275 CONCORDIA DO PARA";3
"150276 CUMARU DO NORTE";1
"150277 CURIONOPOLIS";6
"150285 CURUA";2
"150290 CURUCA";5
"150293 DOM ELISEU";2
"150309 GOIANESIA DO PARA";6
"150330 IGARAPE-MIRI";1
"150340 INHANGAPI";1
"150345 IPIXUNA DO PARA";1
"150350 IRITUIA";4
"150360 ITAITUBA";8
"150370 ITUPIRANGA";36
"150380 JACUNDA";3
"150390 JURUTI";6
"150405 MAE DO RIO";1
"150410 MAGALHAES BARATA";1
"150420 MARABA";23
"150430 MARACANA";4
"150440 MARAPANIM";2
"150442 MARITUBA";6
"150445 MEDICILANDIA";5
"150470 MOJU";3
"150480 MONTE ALEGRE";1
"150495 NOVA ESPERANCA DO PIRIA";2
"150503 NOVO PROGRESSO";3
"150510 OBIDOS";5
"150548 PACAJA";2
"150550 PARAGOMINAS";2
"150553 PARAUAPEBAS";5
"150555 PAU D'ARCO";2
"150563 PICARRA";15
"150565 PLACAS";7
"150610 PRIMAVERA";1
"150613 REDENCAO";8
"150616 RIO MARIA";4
"150620 SALINOPOLIS";2
"150650 SANTA IZABEL DO PARA";4
"150655 SANTA LUZIA DO PARA";2
"150660 SANTA MARIA DO PARA";3
"150670 SANTANA DO ARAGUAIA";3
"150680 SANTAREM";31
"150730 SAO FELIX DO XINGU";3
"150740 SAO FRANCISCO DO PARA";1
"150745 SAO GERALDO DO ARAGUAIA";2
"150746 SAO JOAO DA PONTA";1
"150750 SAO JOAO DO ARAGUAIA";2
"150760 SAO MIGUEL DO GUAMA";1
"150770 SAO SEBASTIAO DA BOA VISTA";1
"150790 SOURE";2
"150795 TAILANDIA";12
"150800 TOME-ACU";4
"150803 TRACUATEUA";2
"150808 TUCUMA";4
"150810 TUCURUI";8
"150812 ULIANOPOLIS";2
"150820 VIGIA";5
"150830 VISEU";3
"150835 VITORIA DO XINGU";1
"150840 XINGUARA";1
"Total";562
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
