Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pará
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"150010 ABAETETUBA";1
"150020 ACARA";2
"150034 AGUA AZUL DO NORTE";1
"150040 ALENQUER";7
"150060 ALTAMIRA";7
"150080 ANANINDEUA";29
"150085 ANAPU";1
"150090 AUGUSTO CORREA";1
"150095 AURORA DO PARA";1
"150130 BARCARENA";12
"150140 BELEM";24
"150150 BENEVIDES";9
"150170 BRAGANCA";5
"150215 CANAA DOS CARAJAS";7
"150220 CAPANEMA";9
"150230 CAPITAO POCO";8
"150240 CASTANHAL";18
"150270 CONCEICAO DO ARAGUAIA";22
"150276 CUMARU DO NORTE";1
"150277 CURIONOPOLIS";8
"150285 CURUA";1
"150290 CURUCA";2
"150293 DOM ELISEU";1
"150300 FARO";3
"150309 GOIANESIA DO PARA";14
"150320 IGARAPE-ACU";4
"150330 IGARAPE-MIRI";1
"150340 INHANGAPI";2
"150350 IRITUIA";1
"150360 ITAITUBA";9
"150370 ITUPIRANGA";26
"150380 JACUNDA";4
"150390 JURUTI";19
"150420 MARABA";26
"150430 MARACANA";6
"150440 MARAPANIM";3
"150442 MARITUBA";11
"150445 MEDICILANDIA";8
"150460 MOCAJUBA";5
"150470 MOJU";8
"150506 NOVO REPARTIMENTO";1
"150510 OBIDOS";1
"150543 OURILANDIA DO NORTE";1
"150548 PACAJA";5
"150550 PARAGOMINAS";1
"150553 PARAUAPEBAS";11
"150555 PAU D'ARCO";2
"150565 PLACAS";3
"150590 PORTO DE MOZ";1
"150600 PRAINHA";1
"150610 PRIMAVERA";2
"150613 REDENCAO";5
"150620 SALINOPOLIS";1
"150650 SANTA IZABEL DO PARA";6
"150655 SANTA LUZIA DO PARA";4
"150660 SANTA MARIA DO PARA";3
"150670 SANTANA DO ARAGUAIA";4
"150680 SANTAREM";18
"150700 SANTO ANTONIO DO TAUA";1
"150730 SAO FELIX DO XINGU";2
"150745 SAO GERALDO DO ARAGUAIA";5
"150750 SAO JOAO DO ARAGUAIA";3
"150760 SAO MIGUEL DO GUAMA";2
"150790 SOURE";9
"150795 TAILANDIA";3
"150800 TOME-ACU";3
"150808 TUCUMA";3
"150810 TUCURUI";15
"150812 ULIANOPOLIS";1
"150815 URUARA";1
"150820 VIGIA";9
"150835 VITORIA DO XINGU";1
"150840 XINGUARA";1
"Total";456
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
