Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pará
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"150010 ABAETETUBA";1
"150013 ABEL FIGUEIREDO";2
"150034 AGUA AZUL DO NORTE";2
"150060 ALTAMIRA";5
"150080 ANANINDEUA";8
"150095 AURORA DO PARA";1
"150120 BAIAO";1
"150130 BARCARENA";7
"150140 BELEM";16
"150150 BENEVIDES";2
"150157 BOM JESUS DO TOCANTINS";3
"150170 BRAGANCA";3
"150210 CAMETA";2
"150215 CANAA DOS CARAJAS";2
"150230 CAPITAO POCO";6
"150240 CASTANHAL";8
"150270 CONCEICAO DO ARAGUAIA";16
"150275 CONCORDIA DO PARA";3
"150276 CUMARU DO NORTE";1
"150277 CURIONOPOLIS";1
"150285 CURUA";1
"150290 CURUCA";7
"150295 ELDORADO DOS CARAJAS";1
"150300 FARO";1
"150309 GOIANESIA DO PARA";6
"150320 IGARAPE-ACU";1
"150330 IGARAPE-MIRI";6
"150345 IPIXUNA DO PARA";3
"150350 IRITUIA";10
"150360 ITAITUBA";7
"150370 ITUPIRANGA";8
"150390 JURUTI";4
"150400 LIMOEIRO DO AJURU";3
"150410 MAGALHAES BARATA";19
"150420 MARABA";11
"150430 MARACANA";3
"150442 MARITUBA";9
"150460 MOCAJUBA";11
"150470 MOJU";5
"150480 MONTE ALEGRE";1
"150495 NOVA ESPERANCA DO PIRIA";2
"150510 OBIDOS";4
"150550 PARAGOMINAS";2
"150553 PARAUAPEBAS";8
"150555 PAU D'ARCO";1
"150563 PICARRA";2
"150565 PLACAS";4
"150580 PORTEL";1
"150600 PRAINHA";1
"150613 REDENCAO";1
"150620 SALINOPOLIS";3
"150650 SANTA IZABEL DO PARA";7
"150660 SANTA MARIA DO PARA";5
"150680 SANTAREM";15
"150720 SAO DOMINGOS DO CAPIM";2
"150730 SAO FELIX DO XINGU";6
"150745 SAO GERALDO DO ARAGUAIA";3
"150747 SAO JOAO DE PIRABAS";1
"150750 SAO JOAO DO ARAGUAIA";3
"150760 SAO MIGUEL DO GUAMA";2
"150770 SAO SEBASTIAO DA BOA VISTA";3
"150790 SOURE";4
"150795 TAILANDIA";6
"150800 TOME-ACU";1
"150808 TUCUMA";2
"150810 TUCURUI";4
"150812 ULIANOPOLIS";3
"150820 VIGIA";4
"150835 VITORIA DO XINGU";1
"150840 XINGUARA";2
"Total";310
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
