Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pará
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"150010 ABAETETUBA";10
"150034 AGUA AZUL DO NORTE";1
"150040 ALENQUER";4
"150050 ALMEIRIM";8
"150060 ALTAMIRA";4
"150070 ANAJAS";1
"150080 ANANINDEUA";18
"150085 ANAPU";2
"150090 AUGUSTO CORREA";2
"150095 AURORA DO PARA";1
"150120 BAIAO";5
"150125 BANNACH";1
"150130 BARCARENA";14
"150140 BELEM";18
"150150 BENEVIDES";4
"150157 BOM JESUS DO TOCANTINS";1
"150170 BRAGANCA";16
"150180 BREVES";2
"150200 CACHOEIRA DO ARARI";4
"150210 CAMETA";7
"150220 CAPANEMA";1
"150230 CAPITAO POCO";12
"150240 CASTANHAL";9
"150275 CONCORDIA DO PARA";4
"150285 CURUA";1
"150290 CURUCA";2
"150293 DOM ELISEU";1
"150304 FLORESTA DO ARAGUAIA";2
"150307 GARRAFAO DO NORTE";1
"150309 GOIANESIA DO PARA";2
"150330 IGARAPE-MIRI";3
"150340 INHANGAPI";3
"150345 IPIXUNA DO PARA";4
"150350 IRITUIA";8
"150360 ITAITUBA";4
"150370 ITUPIRANGA";10
"150380 JACUNDA";4
"150390 JURUTI";3
"150405 MAE DO RIO";1
"150420 MARABA";19
"150430 MARACANA";14
"150440 MARAPANIM";3
"150442 MARITUBA";14
"150445 MEDICILANDIA";3
"150460 MOCAJUBA";11
"150480 MONTE ALEGRE";13
"150495 NOVA ESPERANCA DO PIRIA";5
"150497 NOVA IPIXUNA";2
"150503 NOVO PROGRESSO";9
"150506 NOVO REPARTIMENTO";1
"150510 OBIDOS";1
"150520 OEIRAS DO PARA";2
"150543 OURILANDIA DO NORTE";3
"150548 PACAJA";3
"150549 PALESTINA DO PARA";1
"150550 PARAGOMINAS";7
"150553 PARAUAPEBAS";14
"150555 PAU D'ARCO";1
"150560 PEIXE-BOI";3
"150570 PONTA DE PEDRAS";2
"150580 PORTEL";2
"150590 PORTO DE MOZ";2
"150600 PRAINHA";9
"150611 QUATIPURU";2
"150613 REDENCAO";8
"150620 SALINOPOLIS";2
"150635 SANTA BARBARA DO PARA";2
"150650 SANTA IZABEL DO PARA";7
"150658 SANTA MARIA DAS BARREIRAS";21
"150660 SANTA MARIA DO PARA";1
"150670 SANTANA DO ARAGUAIA";8
"150680 SANTAREM";15
"150710 SAO CAETANO DE ODIVELAS";3
"150730 SAO FELIX DO XINGU";5
"150745 SAO GERALDO DO ARAGUAIA";1
"150746 SAO JOAO DA PONTA";1
"150747 SAO JOAO DE PIRABAS";1
"150750 SAO JOAO DO ARAGUAIA";1
"150770 SAO SEBASTIAO DA BOA VISTA";1
"150790 SOURE";6
"150795 TAILANDIA";5
"150796 TERRA ALTA";1
"150800 TOME-ACU";6
"150803 TRACUATEUA";1
"150808 TUCUMA";2
"150810 TUCURUI";8
"150812 ULIANOPOLIS";1
"150815 URUARA";2
"150820 VIGIA";3
"150830 VISEU";2
"150835 VITORIA DO XINGU";1
"Total";459
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
