Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pará
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"150010 ABAETETUBA";8
"150020 ACARA";5
"150040 ALENQUER";3
"150050 ALMEIRIM";21
"150060 ALTAMIRA";13
"150070 ANAJAS";3
"150080 ANANINDEUA";8
"150090 AUGUSTO CORREA";1
"150095 AURORA DO PARA";1
"150120 BAIAO";6
"150125 BANNACH";2
"150130 BARCARENA";17
"150140 BELEM";37
"150150 BENEVIDES";9
"150157 BOM JESUS DO TOCANTINS";4
"150170 BRAGANCA";2
"150172 BRASIL NOVO";1
"150180 BREVES";11
"150200 CACHOEIRA DO ARARI";1
"150210 CAMETA";9
"150215 CANAA DOS CARAJAS";3
"150230 CAPITAO POCO";12
"150240 CASTANHAL";22
"150270 CONCEICAO DO ARAGUAIA";1
"150275 CONCORDIA DO PARA";6
"150276 CUMARU DO NORTE";2
"150285 CURUA";1
"150290 CURUCA";13
"150304 FLORESTA DO ARAGUAIA";1
"150307 GARRAFAO DO NORTE";6
"150309 GOIANESIA DO PARA";7
"150320 IGARAPE-ACU";3
"150330 IGARAPE-MIRI";3
"150340 INHANGAPI";7
"150345 IPIXUNA DO PARA";1
"150350 IRITUIA";11
"150360 ITAITUBA";15
"150370 ITUPIRANGA";7
"150380 JACUNDA";6
"150390 JURUTI";8
"150405 MAE DO RIO";1
"150420 MARABA";33
"150430 MARACANA";8
"150442 MARITUBA";18
"150445 MEDICILANDIA";4
"150460 MOCAJUBA";8
"150470 MOJU";20
"150480 MONTE ALEGRE";5
"150495 NOVA ESPERANCA DO PIRIA";2
"150497 NOVA IPIXUNA";1
"150503 NOVO PROGRESSO";25
"150506 NOVO REPARTIMENTO";5
"150510 OBIDOS";4
"150520 OEIRAS DO PARA";2
"150540 OUREM";1
"150543 OURILANDIA DO NORTE";4
"150548 PACAJA";6
"150550 PARAGOMINAS";9
"150553 PARAUAPEBAS";17
"150555 PAU D'ARCO";1
"150560 PEIXE-BOI";7
"150580 PORTEL";3
"150600 PRAINHA";5
"150610 PRIMAVERA";1
"150611 QUATIPURU";26
"150613 REDENCAO";7
"150616 RIO MARIA";2
"150618 RONDON DO PARA";2
"150619 RUROPOLIS";25
"150620 SALINOPOLIS";4
"150655 SANTA LUZIA DO PARA";2
"150658 SANTA MARIA DAS BARREIRAS";5
"150660 SANTA MARIA DO PARA";1
"150670 SANTANA DO ARAGUAIA";11
"150680 SANTAREM";27
"150710 SAO CAETANO DE ODIVELAS";13
"150730 SAO FELIX DO XINGU";8
"150745 SAO GERALDO DO ARAGUAIA";3
"150746 SAO JOAO DA PONTA";2
"150747 SAO JOAO DE PIRABAS";3
"150750 SAO JOAO DO ARAGUAIA";4
"150760 SAO MIGUEL DO GUAMA";1
"150790 SOURE";2
"150795 TAILANDIA";10
"150800 TOME-ACU";16
"150803 TRACUATEUA";1
"150805 TRAIRAO";1
"150808 TUCUMA";7
"150810 TUCURUI";6
"150812 ULIANOPOLIS";2
"150815 URUARA";2
"150830 VISEU";4
"150835 VITORIA DO XINGU";1
"Total";685
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
