Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pará
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"150010 ABAETETUBA";6
"150013 ABEL FIGUEIREDO";1
"150020 ACARA";4
"150034 AGUA AZUL DO NORTE";1
"150040 ALENQUER";1
"150050 ALMEIRIM";13
"150060 ALTAMIRA";9
"150070 ANAJAS";7
"150080 ANANINDEUA";16
"150095 AURORA DO PARA";4
"150100 AVEIRO";1
"150120 BAIAO";8
"150125 BANNACH";4
"150130 BARCARENA";11
"150140 BELEM";31
"150150 BENEVIDES";16
"150157 BOM JESUS DO TOCANTINS";2
"150170 BRAGANCA";16
"150172 BRASIL NOVO";1
"150200 CACHOEIRA DO ARARI";1
"150210 CAMETA";9
"150215 CANAA DOS CARAJAS";3
"150230 CAPITAO POCO";13
"150240 CASTANHAL";12
"150275 CONCORDIA DO PARA";7
"150276 CUMARU DO NORTE";1
"150277 CURIONOPOLIS";2
"150285 CURUA";3
"150290 CURUCA";7
"150295 ELDORADO DOS CARAJAS";1
"150304 FLORESTA DO ARAGUAIA";2
"150307 GARRAFAO DO NORTE";1
"150309 GOIANESIA DO PARA";5
"150320 IGARAPE-ACU";2
"150330 IGARAPE-MIRI";3
"150340 INHANGAPI";3
"150345 IPIXUNA DO PARA";2
"150360 ITAITUBA";15
"150370 ITUPIRANGA";10
"150380 JACUNDA";4
"150390 JURUTI";5
"150405 MAE DO RIO";2
"150420 MARABA";27
"150430 MARACANA";1
"150440 MARAPANIM";1
"150442 MARITUBA";16
"150445 MEDICILANDIA";6
"150460 MOCAJUBA";2
"150470 MOJU";15
"150480 MONTE ALEGRE";9
"150495 NOVA ESPERANCA DO PIRIA";6
"150497 NOVA IPIXUNA";3
"150503 NOVO PROGRESSO";9
"150506 NOVO REPARTIMENTO";1
"150510 OBIDOS";10
"150520 OEIRAS DO PARA";7
"150540 OUREM";1
"150543 OURILANDIA DO NORTE";24
"150548 PACAJA";4
"150553 PARAUAPEBAS";13
"150555 PAU D'ARCO";1
"150560 PEIXE-BOI";6
"150580 PORTEL";2
"150590 PORTO DE MOZ";2
"150600 PRAINHA";1
"150610 PRIMAVERA";2
"150613 REDENCAO";24
"150616 RIO MARIA";2
"150619 RUROPOLIS";67
"150620 SALINOPOLIS";19
"150635 SANTA BARBARA DO PARA";2
"150650 SANTA IZABEL DO PARA";1
"150655 SANTA LUZIA DO PARA";3
"150658 SANTA MARIA DAS BARREIRAS";3
"150680 SANTAREM";15
"150710 SAO CAETANO DE ODIVELAS";4
"150730 SAO FELIX DO XINGU";6
"150746 SAO JOAO DA PONTA";1
"150747 SAO JOAO DE PIRABAS";4
"150750 SAO JOAO DO ARAGUAIA";3
"150760 SAO MIGUEL DO GUAMA";3
"150790 SOURE";1
"150795 TAILANDIA";9
"150796 TERRA ALTA";1
"150800 TOME-ACU";7
"150803 TRACUATEUA";8
"150808 TUCUMA";2
"150810 TUCURUI";18
"150812 ULIANOPOLIS";1
"Total";638
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
