Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pará
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"150010 ABAETETUBA";5
"150013 ABEL FIGUEIREDO";2
"150020 ACARA";2
"150034 AGUA AZUL DO NORTE";7
"150040 ALENQUER";3
"150050 ALMEIRIM";26
"150060 ALTAMIRA";8
"150080 ANANINDEUA";9
"150095 AURORA DO PARA";8
"150120 BAIAO";8
"150130 BARCARENA";11
"150140 BELEM";29
"150150 BENEVIDES";1
"150157 BOM JESUS DO TOCANTINS";1
"150170 BRAGANCA";12
"150180 BREVES";2
"150200 CACHOEIRA DO ARARI";4
"150210 CAMETA";12
"150215 CANAA DOS CARAJAS";4
"150220 CAPANEMA";1
"150230 CAPITAO POCO";6
"150240 CASTANHAL";16
"150270 CONCEICAO DO ARAGUAIA";1
"150275 CONCORDIA DO PARA";6
"150277 CURIONOPOLIS";4
"150290 CURUCA";1
"150304 FLORESTA DO ARAGUAIA";2
"150307 GARRAFAO DO NORTE";2
"150309 GOIANESIA DO PARA";5
"150320 IGARAPE-ACU";4
"150330 IGARAPE-MIRI";3
"150340 INHANGAPI";3
"150345 IPIXUNA DO PARA";1
"150360 ITAITUBA";12
"150370 ITUPIRANGA";8
"150390 JURUTI";15
"150405 MAE DO RIO";2
"150420 MARABA";37
"150430 MARACANA";3
"150440 MARAPANIM";4
"150442 MARITUBA";29
"150445 MEDICILANDIA";4
"150460 MOCAJUBA";4
"150470 MOJU";3
"150480 MONTE ALEGRE";4
"150503 NOVO PROGRESSO";4
"150510 OBIDOS";10
"150520 OEIRAS DO PARA";7
"150543 OURILANDIA DO NORTE";11
"150548 PACAJA";2
"150550 PARAGOMINAS";2
"150553 PARAUAPEBAS";5
"150555 PAU D'ARCO";5
"150580 PORTEL";3
"150600 PRAINHA";2
"150613 REDENCAO";51
"150616 RIO MARIA";3
"150619 RUROPOLIS";46
"150620 SALINOPOLIS";9
"150635 SANTA BARBARA DO PARA";1
"150655 SANTA LUZIA DO PARA";3
"150658 SANTA MARIA DAS BARREIRAS";1
"150670 SANTANA DO ARAGUAIA";4
"150680 SANTAREM";21
"150710 SAO CAETANO DE ODIVELAS";8
"150720 SAO DOMINGOS DO CAPIM";3
"150730 SAO FELIX DO XINGU";5
"150745 SAO GERALDO DO ARAGUAIA";2
"150746 SAO JOAO DA PONTA";1
"150747 SAO JOAO DE PIRABAS";1
"150750 SAO JOAO DO ARAGUAIA";3
"150760 SAO MIGUEL DO GUAMA";1
"150790 SOURE";2
"150795 TAILANDIA";6
"150796 TERRA ALTA";4
"150800 TOME-ACU";5
"150803 TRACUATEUA";2
"150805 TRAIRAO";1
"150808 TUCUMA";12
"150810 TUCURUI";19
"150815 URUARA";2
"150830 VISEU";12
"Total";613
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
