Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pará
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"150010 ABAETETUBA";5
"150013 ABEL FIGUEIREDO";2
"150040 ALENQUER";1
"150050 ALMEIRIM";5
"150060 ALTAMIRA";2
"150080 ANANINDEUA";12
"150090 AUGUSTO CORREA";1
"150100 AVEIRO";6
"150120 BAIAO";2
"150125 BANNACH";1
"150130 BARCARENA";11
"150140 BELEM";43
"150150 BENEVIDES";3
"150157 BOM JESUS DO TOCANTINS";5
"150170 BRAGANCA";7
"150180 BREVES";1
"150200 CACHOEIRA DO ARARI";7
"150210 CAMETA";5
"150215 CANAA DOS CARAJAS";4
"150220 CAPANEMA";3
"150230 CAPITAO POCO";5
"150240 CASTANHAL";17
"150275 CONCORDIA DO PARA";15
"150277 CURIONOPOLIS";2
"150285 CURUA";2
"150293 DOM ELISEU";1
"150295 ELDORADO DOS CARAJAS";7
"150304 FLORESTA DO ARAGUAIA";1
"150307 GARRAFAO DO NORTE";2
"150309 GOIANESIA DO PARA";2
"150320 IGARAPE-ACU";1
"150345 IPIXUNA DO PARA";2
"150350 IRITUIA";5
"150360 ITAITUBA";8
"150370 ITUPIRANGA";5
"150390 JURUTI";12
"150405 MAE DO RIO";2
"150410 MAGALHAES BARATA";1
"150420 MARABA";12
"150440 MARAPANIM";3
"150442 MARITUBA";16
"150445 MEDICILANDIA";1
"150460 MOCAJUBA";8
"150470 MOJU";2
"150480 MONTE ALEGRE";5
"150497 NOVA IPIXUNA";2
"150503 NOVO PROGRESSO";5
"150506 NOVO REPARTIMENTO";1
"150510 OBIDOS";4
"150520 OEIRAS DO PARA";2
"150543 OURILANDIA DO NORTE";1
"150548 PACAJA";3
"150550 PARAGOMINAS";5
"150553 PARAUAPEBAS";9
"150555 PAU D'ARCO";1
"150565 PLACAS";9
"150580 PORTEL";7
"150600 PRAINHA";3
"150610 PRIMAVERA";3
"150611 QUATIPURU";1
"150613 REDENCAO";22
"150616 RIO MARIA";3
"150619 RUROPOLIS";10
"150620 SALINOPOLIS";2
"150655 SANTA LUZIA DO PARA";7
"150670 SANTANA DO ARAGUAIA";6
"150680 SANTAREM";15
"150720 SAO DOMINGOS DO CAPIM";1
"150730 SAO FELIX DO XINGU";7
"150740 SAO FRANCISCO DO PARA";4
"150745 SAO GERALDO DO ARAGUAIA";2
"150747 SAO JOAO DE PIRABAS";4
"150750 SAO JOAO DO ARAGUAIA";2
"150760 SAO MIGUEL DO GUAMA";25
"150780 SENADOR JOSE PORFIRIO";3
"150790 SOURE";3
"150795 TAILANDIA";9
"150796 TERRA ALTA";1
"150800 TOME-ACU";8
"150808 TUCUMA";9
"150810 TUCURUI";8
"150812 ULIANOPOLIS";3
"150830 VISEU";5
"150835 VITORIA DO XINGU";1
"Total";479
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
