Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pará
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"150010 ABAETETUBA";1
"150020 ACARA";1
"150050 ALMEIRIM";5
"150060 ALTAMIRA";5
"150080 ANANINDEUA";9
"150130 BARCARENA";13
"150140 BELEM";10
"150150 BENEVIDES";7
"150157 BOM JESUS DO TOCANTINS";6
"150170 BRAGANCA";4
"150180 BREVES";1
"150215 CANAA DOS CARAJAS";2
"150220 CAPANEMA";1
"150230 CAPITAO POCO";3
"150240 CASTANHAL";19
"150270 CONCEICAO DO ARAGUAIA";2
"150275 CONCORDIA DO PARA";1
"150276 CUMARU DO NORTE";1
"150277 CURIONOPOLIS";1
"150290 CURUCA";3
"150295 ELDORADO DOS CARAJAS";1
"150309 GOIANESIA DO PARA";8
"150320 IGARAPE-ACU";5
"150330 IGARAPE-MIRI";1
"150340 INHANGAPI";2
"150345 IPIXUNA DO PARA";2
"150360 ITAITUBA";7
"150370 ITUPIRANGA";8
"150390 JURUTI";12
"150420 MARABA";17
"150440 MARAPANIM";2
"150442 MARITUBA";10
"150460 MOCAJUBA";2
"150470 MOJU";2
"150480 MONTE ALEGRE";4
"150497 NOVA IPIXUNA";2
"150503 NOVO PROGRESSO";2
"150506 NOVO REPARTIMENTO";1
"150510 OBIDOS";3
"150520 OEIRAS DO PARA";1
"150548 PACAJA";3
"150549 PALESTINA DO PARA";1
"150550 PARAGOMINAS";1
"150553 PARAUAPEBAS";7
"150555 PAU D'ARCO";1
"150565 PLACAS";6
"150570 PONTA DE PEDRAS";1
"150580 PORTEL";3
"150590 PORTO DE MOZ";1
"150600 PRAINHA";4
"150611 QUATIPURU";1
"150613 REDENCAO";12
"150619 RUROPOLIS";6
"150620 SALINOPOLIS";7
"150660 SANTA MARIA DO PARA";1
"150670 SANTANA DO ARAGUAIA";9
"150680 SANTAREM";13
"150730 SAO FELIX DO XINGU";4
"150745 SAO GERALDO DO ARAGUAIA";1
"150746 SAO JOAO DA PONTA";1
"150747 SAO JOAO DE PIRABAS";2
"150750 SAO JOAO DO ARAGUAIA";3
"150760 SAO MIGUEL DO GUAMA";23
"150780 SENADOR JOSE PORFIRIO";1
"150790 SOURE";3
"150795 TAILANDIA";10
"150796 TERRA ALTA";1
"150800 TOME-ACU";2
"150803 TRACUATEUA";3
"150808 TUCUMA";2
"150810 TUCURUI";10
"150812 ULIANOPOLIS";2
"150815 URUARA";6
"150830 VISEU";2
"150840 XINGUARA";1
"Total";341
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
