Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pará
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"150010 ABAETETUBA";1
"150013 ABEL FIGUEIREDO";1
"150020 ACARA";1
"150034 AGUA AZUL DO NORTE";3
"150040 ALENQUER";1
"150060 ALTAMIRA";3
"150080 ANANINDEUA";19
"150120 BAIAO";1
"150125 BANNACH";2
"150130 BARCARENA";11
"150140 BELEM";47
"150150 BENEVIDES";6
"150157 BOM JESUS DO TOCANTINS";6
"150170 BRAGANCA";5
"150172 BRASIL NOVO";2
"150180 BREVES";3
"150200 CACHOEIRA DO ARARI";1
"150210 CAMETA";3
"150215 CANAA DOS CARAJAS";7
"150230 CAPITAO POCO";7
"150240 CASTANHAL";17
"150270 CONCEICAO DO ARAGUAIA";13
"150275 CONCORDIA DO PARA";13
"150276 CUMARU DO NORTE";2
"150277 CURIONOPOLIS";2
"150285 CURUA";4
"150290 CURUCA";16
"150293 DOM ELISEU";4
"150304 FLORESTA DO ARAGUAIA";1
"150309 GOIANESIA DO PARA";6
"150320 IGARAPE-ACU";1
"150340 INHANGAPI";3
"150345 IPIXUNA DO PARA";2
"150350 IRITUIA";10
"150360 ITAITUBA";9
"150370 ITUPIRANGA";1
"150390 JURUTI";34
"150400 LIMOEIRO DO AJURU";1
"150405 MAE DO RIO";3
"150420 MARABA";20
"150430 MARACANA";7
"150442 MARITUBA";8
"150445 MEDICILANDIA";3
"150470 MOJU";1
"150480 MONTE ALEGRE";22
"150497 NOVA IPIXUNA";5
"150510 OBIDOS";2
"150520 OEIRAS DO PARA";2
"150543 OURILANDIA DO NORTE";2
"150548 PACAJA";5
"150550 PARAGOMINAS";11
"150553 PARAUAPEBAS";11
"150555 PAU D'ARCO";2
"150563 PICARRA";2
"150565 PLACAS";10
"150580 PORTEL";1
"150610 PRIMAVERA";1
"150613 REDENCAO";16
"150619 RUROPOLIS";1
"150620 SALINOPOLIS";4
"150635 SANTA BARBARA DO PARA";1
"150650 SANTA IZABEL DO PARA";2
"150660 SANTA MARIA DO PARA";3
"150670 SANTANA DO ARAGUAIA";10
"150680 SANTAREM";14
"150700 SANTO ANTONIO DO TAUA";1
"150710 SAO CAETANO DE ODIVELAS";3
"150720 SAO DOMINGOS DO CAPIM";1
"150730 SAO FELIX DO XINGU";6
"150747 SAO JOAO DE PIRABAS";1
"150750 SAO JOAO DO ARAGUAIA";2
"150760 SAO MIGUEL DO GUAMA";19
"150770 SAO SEBASTIAO DA BOA VISTA";1
"150790 SOURE";2
"150795 TAILANDIA";10
"150800 TOME-ACU";9
"150803 TRACUATEUA";3
"150805 TRAIRAO";2
"150808 TUCUMA";6
"150810 TUCURUI";17
"150812 ULIANOPOLIS";1
"150815 URUARA";2
"150820 VIGIA";1
"150830 VISEU";1
"150835 VITORIA DO XINGU";3
"Total";529
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
