Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Pará
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"150010 ABAETETUBA";3
"150013 ABEL FIGUEIREDO";2
"150034 AGUA AZUL DO NORTE";2
"150040 ALENQUER";2
"150050 ALMEIRIM";2
"150060 ALTAMIRA";5
"150080 ANANINDEUA";51
"150095 AURORA DO PARA";4
"150130 BARCARENA";16
"150140 BELEM";27
"150150 BENEVIDES";3
"150170 BRAGANCA";3
"150180 BREVES";4
"150190 BUJARU";1
"150210 CAMETA";5
"150220 CAPANEMA";2
"150230 CAPITAO POCO";3
"150240 CASTANHAL";10
"150270 CONCEICAO DO ARAGUAIA";114
"150275 CONCORDIA DO PARA";4
"150276 CUMARU DO NORTE";1
"150277 CURIONOPOLIS";1
"150290 CURUCA";2
"150295 ELDORADO DOS CARAJAS";2
"150309 GOIANESIA DO PARA";9
"150320 IGARAPE-ACU";5
"150330 IGARAPE-MIRI";1
"150340 INHANGAPI";2
"150345 IPIXUNA DO PARA";2
"150350 IRITUIA";3
"150360 ITAITUBA";3
"150370 ITUPIRANGA";12
"150390 JURUTI";13
"150400 LIMOEIRO DO AJURU";1
"150405 MAE DO RIO";1
"150420 MARABA";22
"150430 MARACANA";3
"150440 MARAPANIM";1
"150442 MARITUBA";8
"150445 MEDICILANDIA";5
"150470 MOJU";1
"150480 MONTE ALEGRE";4
"150495 NOVA ESPERANCA DO PIRIA";1
"150510 OBIDOS";2
"150543 OURILANDIA DO NORTE";5
"150548 PACAJA";2
"150550 PARAGOMINAS";5
"150553 PARAUAPEBAS";8
"150563 PICARRA";14
"150565 PLACAS";9
"150580 PORTEL";2
"150610 PRIMAVERA";1
"150613 REDENCAO";12
"150616 RIO MARIA";4
"150620 SALINOPOLIS";3
"150650 SANTA IZABEL DO PARA";2
"150655 SANTA LUZIA DO PARA";1
"150660 SANTA MARIA DO PARA";7
"150670 SANTANA DO ARAGUAIA";3
"150680 SANTAREM";11
"150730 SAO FELIX DO XINGU";3
"150740 SAO FRANCISCO DO PARA";3
"150745 SAO GERALDO DO ARAGUAIA";5
"150746 SAO JOAO DA PONTA";3
"150750 SAO JOAO DO ARAGUAIA";1
"150790 SOURE";8
"150795 TAILANDIA";3
"150800 TOME-ACU";4
"150805 TRAIRAO";2
"150808 TUCUMA";4
"150810 TUCURUI";20
"150812 ULIANOPOLIS";2
"150815 URUARA";1
"150820 VIGIA";10
"150830 VISEU";5
"150835 VITORIA DO XINGU";4
"150840 XINGUARA";1
"Total";536
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
