Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Paraíba
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"250010 AGUA BRANCA";2
"250020 AGUIAR";1
"250030 ALAGOA GRANDE";1
"250090 ARARA";1
"250157 BARRA DE SANTANA";3
"250180 BAYEUX";6
"250190 BELEM";5
"250300 CAAPORA";8
"250320 CABEDELO";4
"250370 CAJAZEIRAS";5
"250390 CAMALAU";1
"250400 CAMPINA GRANDE";28
"250460 CONDE";2
"250600 ESPERANCA";2
"250625 GADO BRAVO";1
"250680 INGA";1
"250730 JACARAU";8
"250740 JERICO";3
"250750 JOAO PESSOA";151
"250780 JUNCO DO SERIDO";4
"250820 LAGOA DE DENTRO";1
"250830 LAGOA SECA";2
"250860 LUCENA";2
"250890 MAMANGUAPE";9
"250910 MARI";3
"250920 MASSARANDUBA";8
"250930 MATARACA";2
"250933 MATINHAS";1
"250950 MONTADAS";1
"250970 MONTEIRO";1
"251020 NOVA OLINDA";1
"251100 PEDRA BRANCA";11
"251130 PIANCO";1
"251140 PICUI";3
"251180 PIRPIRITUBA";1
"251220 PRATA";5
"251250 QUEIMADAS";5
"251278 RIACHO DE SANTO ANTONIO";1
"251290 RIO TINTO";4
"251330 SANTA HELENA";1
"251394 SAO DOMINGOS DO CARIRI";1
"251460 SAO JOSE DO BONFIM";1
"251590 SERRARIA";2
"251597 SOBRADO";2
"251610 SOLEDADE";1
"251640 TACIMA";1
"251670 TEIXEIRA";5
"Total";313
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
